FECHA INICIO,FECHA FIN,EPISODIO OZONO,EPISODIO URI,MEDIDA POBLACION
2025-05-08T15:00:00Z,2025-05-08T16:00:00Z,51,https://www.wikidata.org/entity/Q36933,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2025-05-08T15:00:00Z,2025-05-08T16:00:00Z,51,https://www.wikidata.org/entity/Q36933,"COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS"
