expID,date,loc1,loc2,numLoc,district,distCode,accidentType,weather,vehicleType,personType,ageRange,sex,utmXcoord,utmYcoord,alcoholPositive,person_id,long,lat
2025S000058,2025-01-01T03:18:00Z,"CALLE GALLUR, 489",,489,Latina,10,Collision with fixed object,SKC,passenger car,Driver,18 to 20 years,Male,437019.0,4471984.0,True,1,-3.7421329086626383,40.396079294316536
2025S000060,2025-01-01T04:00:00Z,CALLE LUCHANA,CALLE EGUILAZ,16,Chamberí,7,Side collision,SKC,Maquinaria de obras,Driver,55 to 59 years,Male,440567.0,4475699.0,False,1,-3.700675357196695,40.42980656324271
2025S000060,2025-01-01T04:00:00Z,CALLE LUCHANA,CALLE EGUILAZ,16,Chamberí,7,Side collision,SKC,passenger car,Driver,,,440567.0,4475699.0,False,2,-3.700675357196695,40.42980656324271
2025S000061,2025-01-01T03:30:00Z,"AVDA. PABLO IGLESIAS, 50",,50,Tetuán,6,Front-to-side collision,,passenger car,Driver,50 to 54 years,Male,439772.0,4477959.0,False,1,-3.7102614347104974,40.4501084174607
2025S000061,2025-01-01T03:30:00Z,"AVDA. PABLO IGLESIAS, 50",,50,Tetuán,6,Front-to-side collision,,passenger car,Driver,,,439772.0,4477959.0,False,2,-3.7102614347104974,40.4501084174607
2025S000063,2025-01-01T06:58:00Z,"CALLE PRINCESA, 28",,28,Centro,1,Rear-end collision,SKC,Motocicleta hasta 125cc,Driver,30 to 34 years,Male,439427.0,4475473.0,True,1,-3.714092680298629,40.42768842639266
2025S000063,2025-01-01T06:58:00Z,"CALLE PRINCESA, 28",,28,Centro,1,Rear-end collision,SKC,Motocicleta hasta 125cc,Passenger,35 to 39 years,Female,439427.0,4475473.0,False,2,-3.714092680298629,40.42768842639266
2025S000063,2025-01-01T06:58:00Z,"CALLE PRINCESA, 28",,28,Centro,1,Rear-end collision,SKC,passenger car,Driver,40 to 44 years,Male,439427.0,4475473.0,False,3,-3.714092680298629,40.42768842639266
2025S000064,2025-01-01T07:10:00Z,PASEO. ARTILLEROS,CALLE CALAHORRA,6,Vicálvaro,19,Collision with fixed object,,passenger car,Driver,30 to 34 years,Female,448291.0,4473199.0,True,1,-3.609416556937543,40.40780097562848
2025S000064,2025-01-01T07:10:00Z,PASEO. ARTILLEROS,CALLE CALAHORRA,6,Vicálvaro,19,Collision with fixed object,,passenger car,Driver,,,448291.0,4473199.0,False,2,-3.609416556937543,40.40780097562848
2025S000064,2025-01-01T07:10:00Z,PASEO. ARTILLEROS,CALLE CALAHORRA,6,Vicálvaro,19,Collision with fixed object,,passenger car,Driver,,,448291.0,4473199.0,False,3,-3.609416556937543,40.40780097562848
2025S000065,2025-01-01T07:30:00Z,CALLE CAMINO DE LOS VINATEROS,CALLE CORREGIDOR DIEGO DE VALDERRABANO,5,Moratalaz,14,Front-to-side collision,SKC,passenger car,Driver,25 to 29 years,Female,444161.0,4473548.0,False,1,-3.658118376231983,40.41067819032193
2025S000065,2025-01-01T07:30:00Z,CALLE CAMINO DE LOS VINATEROS,CALLE CORREGIDOR DIEGO DE VALDERRABANO,5,Moratalaz,14,Front-to-side collision,SKC,passenger car,Driver,45 to 49 years,Male,444161.0,4473548.0,False,2,-3.658118376231983,40.41067819032193
2025S000069,2025-01-01T07:50:00Z,CALLE MIGUEL PALACIOS,AVDA. PEÑA PRIETA,4,Puente de Vallecas,13,Collision with fixed object,SKC,Motocicleta hasta 125cc,Driver,,,443545.0,4472565.0,False,1,-3.6652908907206094,40.401781225406076
2025S000069,2025-01-01T07:50:00Z,CALLE MIGUEL PALACIOS,AVDA. PEÑA PRIETA,4,Puente de Vallecas,13,Collision with fixed object,SKC,passenger car,Driver,,,443545.0,4472565.0,False,2,-3.6652908907206094,40.401781225406076
2025S000069,2025-01-01T07:50:00Z,CALLE MIGUEL PALACIOS,AVDA. PEÑA PRIETA,4,Puente de Vallecas,13,Collision with fixed object,SKC,passenger car,Driver,,,443545.0,4472565.0,False,3,-3.6652908907206094,40.401781225406076
2025S000069,2025-01-01T07:50:00Z,CALLE MIGUEL PALACIOS,AVDA. PEÑA PRIETA,4,Puente de Vallecas,13,Collision with fixed object,SKC,passenger car,Driver,,,443545.0,4472565.0,False,4,-3.6652908907206094,40.401781225406076
2025S000069,2025-01-01T07:50:00Z,CALLE MIGUEL PALACIOS,AVDA. PEÑA PRIETA,4,Puente de Vallecas,13,Collision with fixed object,SKC,passenger car,Driver,,,443545.0,4472565.0,False,5,-3.6652908907206094,40.401781225406076
2025S000070,2025-01-01T08:05:00Z,AVDA. ALBUFERA,CALLE CANTALAPIEDRA,140,Puente de Vallecas,13,Rear-end collision,SKC,van,Driver,55 to 59 years,Female,444319.0,4471444.0,False,1,-3.6560722698464967,40.39173471263609
2025S000070,2025-01-01T08:05:00Z,AVDA. ALBUFERA,CALLE CANTALAPIEDRA,140,Puente de Vallecas,13,Rear-end collision,SKC,passenger car,Driver,,,444319.0,4471444.0,False,2,-3.6560722698464967,40.39173471263609
2025S000072,2025-01-01T07:30:00Z,"CALLE EMBALSE DE NAVACERRADA, 35",,35,Villa de Vallecas,18,Rear-end collision,SKC,passenger car,Driver,21 to 24 years,Male,449221.0,4467966.0,False,1,-3.5980395355140953,40.36071563906351
2025S000072,2025-01-01T07:30:00Z,"CALLE EMBALSE DE NAVACERRADA, 35",,35,Villa de Vallecas,18,Rear-end collision,SKC,passenger car,Driver,,,449221.0,4467966.0,False,2,-3.5980395355140953,40.36071563906351
2025S000072,2025-01-01T07:30:00Z,"CALLE EMBALSE DE NAVACERRADA, 35",,35,Villa de Vallecas,18,Rear-end collision,SKC,passenger car,Driver,,,449221.0,4467966.0,False,3,-3.5980395355140953,40.36071563906351
2025S000074,2025-01-01T10:00:00Z,"CALLE MATEO INURRIA, 13",,13,Chamartín,5,Other,SKC,passenger car,Driver,50 to 54 years,Male,441824.0,4479788.0,False,1,-3.6862317540484746,40.46673099844044
2025S000076,2025-01-01T08:00:00Z,"CALLE MISTERIOS, 8",,8,Ciudad Lineal,15,Front-to-side collision,SKC,passenger car,Driver,45 to 49 years,Male,445740.0,4476666.0,True,1,-3.6397754827330395,40.43887135862682
2025S000076,2025-01-01T08:00:00Z,"CALLE MISTERIOS, 8",,8,Ciudad Lineal,15,Front-to-side collision,SKC,passenger car,Driver,,,445740.0,4476666.0,False,2,-3.6397754827330395,40.43887135862682
2025S000076,2025-01-01T08:00:00Z,"CALLE MISTERIOS, 8",,8,Ciudad Lineal,15,Front-to-side collision,SKC,passenger car,Driver,,,445740.0,4476666.0,False,3,-3.6397754827330395,40.43887135862682
2025S000079,2025-01-01T09:20:00Z,"CALLE LUIS MARTINEZ FEDUCHI, 66",,66,Hortaleza,16,Collision with fixed object,,passenger car,Driver,21 to 24 years,Male,445608.0,4483449.0,False,1,-3.64191334421701,40.499967416331884
2025S000081,2025-01-01T12:00:00Z,"CALLE JUSTA GARCIA, 3",,3,Usera,12,Side collision,,passenger car,Driver,,,439770.0,4470485.0,,1,-3.709577329680892,40.38277904533243
2025S000081,2025-01-01T12:00:00Z,"CALLE JUSTA GARCIA, 3",,3,Usera,12,Side collision,,passenger car,Driver,,,439770.0,4470485.0,False,2,-3.709577329680892,40.38277904533243
2025S000082,2025-01-01T12:30:00Z,AVDA. NICETO ALCALA ZAMORA,CALLE JULIO CASARES,3,Hortaleza,16,Collision with fixed object,SKC,passenger car,Driver,,,445225.0,4482368.0,False,1,-3.646339635876626,40.4902040825627
