id_participacion,num_expediente,fecha,hora,localizacion,numero,cod_distrito,distrito,wikidata_distrito_uri,wikidata_distrito_qid,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga
2024S025261-31694,2024S025261,2024-09-03,19:45:00,Autov. A-42 / Avda. Poblados,+00500S,11,Carabanchel,http://www.wikidata.org/entity/Q1001991,Q1001991,Alcance,Despejado,Furgoneta,Conductor,De 30 A 34 Años,Desconocido,7,Asistencia Sanitaria Sólo En El Lugar Del Accidente,438918,4469739,,
2024S025261-31695,2024S025261,2024-09-03,19:45:00,Autov. A-42 / Avda. Poblados,+00500S,11,Carabanchel,http://www.wikidata.org/entity/Q1001991,Q1001991,Alcance,Despejado,Furgoneta,Conductor,De 40 A 44 Años,Desconocido,14,Sin Asistencia Sanitaria,438918,4469739,,
2024S025261-31696,2024S025261,2024-09-03,19:45:00,Autov. A-42 / Avda. Poblados,+00500S,11,Carabanchel,http://www.wikidata.org/entity/Q1001991,Q1001991,Alcance,Despejado,Furgoneta,Pasajero,De 40 A 44 Años,Desconocido,14,Sin Asistencia Sanitaria,438918,4469739,,
2024S025261-31697,2024S025261,2024-09-03,19:45:00,Autov. A-42 / Avda. Poblados,+00500S,11,Carabanchel,http://www.wikidata.org/entity/Q1001991,Q1001991,Alcance,Despejado,Turismo,Conductor,De 35 A 39 Años,Desconocido,14,Sin Asistencia Sanitaria,438918,4469739,,
2024S025261-31698,2024S025261,2024-09-03,19:45:00,Autov. A-42 / Avda. Poblados,+00500S,11,Carabanchel,http://www.wikidata.org/entity/Q1001991,Q1001991,Alcance,Despejado,Turismo,Conductor,De 40 A 44 Años,Desconocido,7,Asistencia Sanitaria Sólo En El Lugar Del Accidente,438918,4469739,,
2024S025263-31699,2024S025263,2024-09-03,20:02:00,Avda. Pablo Iglesias / Avda. Doctor Federico Rubio Y Gali,28,6,Tetuán,http://www.wikidata.org/entity/Q1773540,Q1773540,Caída,Despejado,Motocicleta Hasta 125cc,Conductor,De 35 A 39 Años,Desconocido,7,Asistencia Sanitaria Sólo En El Lugar Del Accidente,439920,4477670,,
2024S025263-31700,2024S025263,2024-09-03,20:02:00,Avda. Pablo Iglesias / Avda. Doctor Federico Rubio Y Gali,28,6,Tetuán,http://www.wikidata.org/entity/Q1773540,Q1773540,Caída,Despejado,Motocicleta Hasta 125cc,Peatón,De 25 A 29 Años,Desconocido,14,Sin Asistencia Sanitaria,439920,4477670,,
2024S025264-31701,2024S025264,2024-09-03,21:00:00,Call. Amparo Usera / Call. Gabino Jimeno,47,12,Usera,http://www.wikidata.org/entity/Q953368,Q953368,Colisión Lateral,Despejado,Motocicleta > 125cc,Conductor,De 30 A 34 Años,Desconocido,14,Sin Asistencia Sanitaria,439994,4470945,,
2024S025264-31702,2024S025264,2024-09-03,21:00:00,Call. Amparo Usera / Call. Gabino Jimeno,47,12,Usera,http://www.wikidata.org/entity/Q953368,Q953368,Colisión Lateral,Despejado,Turismo,Conductor,Más De 74 Años,Desconocido,7,Asistencia Sanitaria Sólo En El Lugar Del Accidente,439994,4470945,,
2024S025265-31703,2024S025265,2024-09-03,18:50:00,"Autov. A-42 / Pk 5,800 Sentido Decreciente",+00500E,12,Usera,http://www.wikidata.org/entity/Q953368,Q953368,Colisión Múltiple,Despejado,Motocicleta > 125cc,Conductor,De 55 A 59 Años,Desconocido,2,Ingreso Inferior O Igual A 24 Horas,438875,4469129,,
2024S025265-31704,2024S025265,2024-09-03,18:50:00,"Autov. A-42 / Pk 5,800 Sentido Decreciente",+00500E,12,Usera,http://www.wikidata.org/entity/Q953368,Q953368,Colisión Múltiple,Despejado,Turismo,Conductor,De 25 A 29 Años,Desconocido,14,Sin Asistencia Sanitaria,438875,4469129,,
2024S025265-31705,2024S025265,2024-09-03,18:50:00,"Autov. A-42 / Pk 5,800 Sentido Decreciente",+00500E,12,Usera,http://www.wikidata.org/entity/Q953368,Q953368,Colisión Múltiple,Despejado,Turismo,Conductor,De 50 A 54 Años,Desconocido,14,Sin Asistencia Sanitaria,438875,4469129,,
2024S025265-31706,2024S025265,2024-09-03,18:50:00,"Autov. A-42 / Pk 5,800 Sentido Decreciente",+00500E,12,Usera,http://www.wikidata.org/entity/Q953368,Q953368,Colisión Múltiple,Despejado,Turismo,Pasajero,De 50 A 54 Años,Desconocido,14,Sin Asistencia Sanitaria,438875,4469129,,
2024S025265-31707,2024S025265,2024-09-03,18:50:00,"Autov. A-42 / Pk 5,800 Sentido Decreciente",+00500E,12,Usera,http://www.wikidata.org/entity/Q953368,Q953368,Colisión Múltiple,Despejado,Turismo,Pasajero,De 6 A 9 Años,Desconocido,14,Sin Asistencia Sanitaria,438875,4469129,,
2024S025266-31708,2024S025266,2024-09-03,21:15:00,Call. Ferraz / Custa. San Vicente,1,9,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,Q2017682,Colisión Fronto-lateral,Despejado,Autobús,Conductor,De 40 A 44 Años,Desconocido,14,Sin Asistencia Sanitaria,439484,4474847,,
2024S025266-31709,2024S025266,2024-09-03,21:15:00,Call. Ferraz / Custa. San Vicente,1,9,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,Q2017682,Colisión Fronto-lateral,Despejado,Autobús,Pasajero,De 55 A 59 Años,Desconocido,14,Sin Asistencia Sanitaria,439484,4474847,,
2024S025266-31710,2024S025266,2024-09-03,21:15:00,Call. Ferraz / Custa. San Vicente,1,9,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,Q2017682,Colisión Fronto-lateral,Despejado,Motocicleta > 125cc,Conductor,De 55 A 59 Años,Desconocido,3,Ingreso Superior A 24 Horas,439484,4474847,,
2024S025267-31711,2024S025267,2024-09-03,20:21:00,Avda. Pablo Neruda / Call. Arenas De Iguña,30,13,Puente de Vallecas,http://www.wikidata.org/entity/Q2003054,Q2003054,Colisión Fronto-lateral,Despejado,Furgoneta,Conductor,De 30 A 34 Años,Desconocido,14,Sin Asistencia Sanitaria,445414,4471275,,
2024S025267-31712,2024S025267,2024-09-03,20:21:00,Avda. Pablo Neruda / Call. Arenas De Iguña,30,13,Puente de Vallecas,http://www.wikidata.org/entity/Q2003054,Q2003054,Colisión Fronto-lateral,Despejado,Furgoneta,Pasajero,Más De 74 Años,Desconocido,,,445414,4471275,,
2024S025267-31713,2024S025267,2024-09-03,20:21:00,Avda. Pablo Neruda / Call. Arenas De Iguña,30,13,Puente de Vallecas,http://www.wikidata.org/entity/Q2003054,Q2003054,Colisión Fronto-lateral,Despejado,Furgoneta,Pasajero,Más De 74 Años,Desconocido,,,445414,4471275,,
2024S025267-31714,2024S025267,2024-09-03,20:21:00,Avda. Pablo Neruda / Call. Arenas De Iguña,30,13,Puente de Vallecas,http://www.wikidata.org/entity/Q2003054,Q2003054,Colisión Fronto-lateral,Despejado,Furgoneta,Pasajero,Más De 74 Años,Desconocido,,,445414,4471275,,
2024S025267-31715,2024S025267,2024-09-03,20:21:00,Avda. Pablo Neruda / Call. Arenas De Iguña,30,13,Puente de Vallecas,http://www.wikidata.org/entity/Q2003054,Q2003054,Colisión Fronto-lateral,Despejado,Turismo,Conductor,De 35 A 39 Años,Desconocido,14,Sin Asistencia Sanitaria,445414,4471275,,
