idTram,infoDisponible,data,tempsActual,tempsPrevist,tempsRecorregutFutur,factorReferenciaActual,tendencia
52,1,20250801002553,299,299,1,1,1
53,1,20250801002553,149,149,1,1,1
54,1,20250801002553,164,164,1,1,1
55,1,20250801002553,0,0,-1,-1,-1
56,1,20250801002553,0,0,-1,-1,-1
57,1,20250801002553,0,0,-1,-1,-1
58,1,20250801002553,0,0,-1,-1,-1
59,1,20250801002553,0,0,-1,-1,-1
60,1,20250801002553,415,415,1,1,1
61,1,20250801002553,0,0,-1,-1,-1
62,0,20250801002553,1108,1108,1,1,1
63,0,20250801002553,0,0,-1,-1,-1
64,0,20250801002553,0,0,-1,-1,-1
65,1,20250801002553,129,132,1,1,1
66,1,20250801002553,0,0,-1,-1,-1
67,1,20250801002553,205,213,1,1,1
68,1,20250801002553,115,117,1,1,1
69,1,20250801002553,133,132,1,1,1
70,1,20250801002553,144,141,0,1,2
71,0,20250801002553,99,95,1,1,1
72,0,20250801002553,178,172,1,1,1
73,0,20250801002553,118,121,1,1,1
74,0,20250801002553,119,111,0,0,1
75,0,20250801002553,232,225,2,1,0
76,0,20250801002553,87,86,1,1,1
77,1,20250801002553,430,430,1,1,1
78,1,20250801002553,425,425,1,1,1
1,1,20250801003552,302,301,1,1,1
2,1,20250801003552,0,0,-1,-1,-1
3,1,20250801003552,304,304,1,1,1
4,1,20250801003552,324,325,1,1,1
5,1,20250801003552,174,174,1,1,1
6,1,20250801003552,275,275,1,1,1
7,1,20250801003552,187,185,1,1,1
8,0,20250801003552,0,0,-1,-1,-1
9,0,20250801003552,0,0,-1,-1,-1
10,1,20250801003552,171,171,1,1,1
11,1,20250801003552,0,0,-1,-1,-1
12,1,20250801003552,99,99,1,1,1
13,1,20250801003552,238,236,1,1,1
14,0,20250801003552,0,0,-1,-1,-1
15,1,20250801003552,220,218,1,1,1
16,1,20250801003552,237,237,1,1,1
17,1,20250801003552,192,192,1,1,1
18,1,20250801003552,0,0,-1,-1,-1
19,0,20250801003552,0,0,-1,-1,-1
20,0,20250801003552,0,0,-1,-1,-1
21,1,20250801003552,0,0,-1,-1,-1
22,1,20250801003552,270,270,1,1,1
23,1,20250801003552,189,189,1,1,1
24,1,20250801003552,0,0,-1,-1,-1
25,1,20250801003552,0,0,-1,-1,-1
26,1,20250801003552,260,260,1,1,1
27,1,20250801003552,185,185,1,1,1
28,1,20250801003552,0,0,-1,-1,-1
29,1,20250801003552,363,363,1,1,1
30,1,20250801003552,396,394,1,1,1
31,1,20250801003552,219,219,1,1,1
32,1,20250801003552,0,0,-1,-1,-1
33,1,20250801003552,0,0,-1,-1,-1
34,1,20250801003552,220,220,1,1,1
35,1,20250801003552,151,150,1,1,1
36,1,20250801003552,0,0,-1,-1,-1
37,1,20250801003552,205,205,1,1,1
38,1,20250801003552,204,204,1,1,1
39,1,20250801003552,110,108,1,1,1
40,1,20250801003552,0,0,-1,-1,-1
41,0,20250801003552,0,0,-1,-1,-1
42,1,20250801003552,212,206,1,1,1
