ESTACION,MAGNITUD,pollutantLabel,Pollutant_URI,PUNTO_MUESTREO,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24
17,12,NOx,https://www.wikidata.org/entity/Q20962970,28079017_12_8,10,V,10,V,12,V,13,V,7,V,10,V,18,V,32,V,34,V,32,V,28,V,14,V,17,V,20,V,12,V,10,V,13,V,9,V,11,V,16,V,18,V,13,V,9,V,0,N
17,14,ozone,https://www.wikidata.org/entity/Q36933,28079017_14_6,80,V,74,V,72,V,68,V,73,V,65,V,55,V,40,V,42,V,48,V,62,V,76,V,77,V,85,V,94,V,94,V,90,V,87,V,82,V,72,V,67,V,68,V,70,V,0,N
17,7,nitric oxide,https://www.wikidata.org/entity/Q207843,28079017_7_8,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,2,V,3,V,8,V,2,V,3,V,6,V,3,V,2,V,2,V,1,V,1,V,1,V,1,V,1,V,1,V,0,N
17,8,nitrogen dioxide,https://www.wikidata.org/entity/Q207895,28079017_8_8,9,V,9,V,11,V,11,V,6,V,9,V,16,V,31,V,32,V,28,V,15,V,10,V,12,V,11,V,8,V,8,V,9,V,7,V,9,V,15,V,17,V,12,V,8,V,0,N
18,10,PM10 (including PM 2.5),https://www.wikidata.org/entity/Q48035511,28079018_10_47,20,V,18,V,11,V,12,V,14,V,15,V,12,V,23,V,23,V,30,V,28,V,22,V,23,V,22,V,15,V,26,V,23,V,17,V,21,V,20,V,24,V,20,V,21,V,0,N
18,12,NOx,https://www.wikidata.org/entity/Q20962970,28079018_12_8,13,V,16,V,18,V,8,V,7,V,7,V,11,V,21,V,26,V,25,V,21,V,14,V,12,V,14,V,13,V,11,V,11,V,14,V,18,V,21,V,26,V,19,V,10,V,0,N
18,14,ozone,https://www.wikidata.org/entity/Q36933,28079018_14_6,82,V,74,V,71,V,77,V,76,V,71,V,67,V,56,V,54,V,58,V,66,V,77,V,85,V,88,V,95,V,94,V,89,V,84,V,78,V,71,V,64,V,68,V,72,V,0,N
18,20,toluene,https://www.wikidata.org/entity/Q15779,28079018_20_59,0.8,V,0.9,V,0.9,V,2.6,V,2.4,V,1,V,0.8,V,1.1,V,1.2,V,1.7,V,1.9,V,1.6,V,1.2,V,0.9,V,1.1,V,1,V,0.7,V,0.8,V,1.4,V,1.2,V,1.6,V,1.2,V,0.8,V,0,N
18,30,benzene,https://www.wikidata.org/entity/Q2270,28079018_30_59,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0.2,V,0.3,V,0.2,V,0.2,V,0.1,V,0.1,V,0,V,0.1,V,0.1,V,0,V,0.1,V,0.1,V,0.2,V,0.3,V,0.2,V,0.1,V,0,N
18,35,ethylbenzene,https://www.wikidata.org/entity/Q409184,28079018_35_59,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0.1,V,0,V,0,V,0,V,0,V,0,V,0.2,V,0,V,0,V,0,V,0.1,V,0,V,0,V,0,N
