nom_cabina,country,Commons category,population,calidad_aire,codi_dtes,zqa,codi_eoi,longitud,latitud,hora_o3,calidad_o3,valor_o3,hora_no2,calidad_no2,valor_no2,hora_pm10,calidad_pm10,valor_pm10,generat,dateTime
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,Buena,ID,01,08019042,2.1331,41.3788,NA,NA,NA,12h,Bona,15 µg/m³,NA,NA,NA,11/06/2018 13:00,1528715111
Eixample,Spain,"Eixample, Barcelona",269349.0,Buena,IH,01,08019043,2.1538,41.3853,11h,--,--,11h,--,--,13h,Buena,26 µg/m³,11/06/2018 13:00,1528715111
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,12h,Buena,59 µg/m³,12h,Bona,22 µg/m³,13h,Buena,23 µg/m³,11/06/2018 13:00,1528715111
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,--,IL,01,08019050,2.1874,41.3864,11h,--,--,11h,--,--,NA,NA,NA,11/06/2018 13:00,1528715111
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,12h,Buena,69 µg/m³,12h,Bona,14 µg/m³,13h,Buena,20 µg/m³,11/06/2018 13:00,1528715111
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,12h,Buena,69 µg/m³,12h,Bona,12 µg/m³,13h,Buena,21 µg/m³,11/06/2018 13:00,1528715111
Sant Martí,Spain,Sant Martí District,241181.0,Buena,I2,01,08019004,2.2045,41.4039,NA,NA,NA,12h,Bona,29 µg/m³,13h,Buena,23 µg/m³,11/06/2018 13:00,1528715111
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,Buena,ID,01,08019042,2.1331,41.3788,NA,NA,NA,13h,Bona,12 µg/m³,NA,NA,NA,11/06/2018 14:00,1528721915
Eixample,Spain,"Eixample, Barcelona",269349.0,Buena,IH,01,08019043,2.1538,41.3853,11h,--,--,11h,--,--,13h,Buena,26 µg/m³,11/06/2018 14:00,1528721915
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,13h,Buena,68 µg/m³,13h,Bona,22 µg/m³,13h,Buena,22 µg/m³,11/06/2018 14:00,1528721915
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,--,IL,01,08019050,2.1874,41.3864,11h,--,--,11h,--,--,NA,NA,NA,11/06/2018 14:00,1528721915
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,13h,Buena,74 µg/m³,13h,Bona,11 µg/m³,13h,Buena,20 µg/m³,11/06/2018 14:00,1528721915
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,13h,Buena,74 µg/m³,13h,Bona,9 µg/m³,13h,Buena,21 µg/m³,11/06/2018 14:00,1528721915
Sant Martí,Spain,Sant Martí District,241181.0,Buena,I2,01,08019004,2.2045,41.4039,NA,NA,NA,13h,Bona,28 µg/m³,13h,Buena,23 µg/m³,11/06/2018 14:00,1528721915
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,Buena,ID,01,08019042,2.1331,41.3788,NA,NA,NA,15h,Bona,13 µg/m³,NA,NA,NA,11/06/2018 15:00,1528722668
Eixample,Spain,"Eixample, Barcelona",269349.0,Buena,IH,01,08019043,2.1538,41.3853,13h,--,--,13h,--,--,15h,Buena,26 µg/m³,11/06/2018 15:00,1528722668
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,15h,Buena,80 µg/m³,15h,Bona,22 µg/m³,15h,Buena,21 µg/m³,11/06/2018 15:00,1528722668
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,15h,Buena,63 µg/m³,15h,Bona,48 µg/m³,NA,NA,NA,11/06/2018 15:00,1528722668
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,15h,Buena,95 µg/m³,15h,Bona,14 µg/m³,15h,Buena,20 µg/m³,11/06/2018 15:00,1528722668
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,14h,Buena,87 µg/m³,14h,Bona,15 µg/m³,15h,Buena,21 µg/m³,11/06/2018 15:00,1528722668
Sant Martí,Spain,Sant Martí District,241181.0,Buena,I2,01,08019004,2.2045,41.4039,NA,NA,NA,14h,Bona,61 µg/m³,15h,Buena,24 µg/m³,11/06/2018 15:00,1528722668
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,Buena,ID,01,08019042,2.1331,41.3788,NA,NA,NA,15h,Bona,13 µg/m³,NA,NA,NA,11/06/2018 16:00,1528725902
Eixample,Spain,"Eixample, Barcelona",269349.0,Buena,IH,01,08019043,2.1538,41.3853,13h,--,--,13h,--,--,15h,Buena,26 µg/m³,11/06/2018 16:00,1528725902
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,15h,Buena,80 µg/m³,15h,Bona,22 µg/m³,15h,Buena,21 µg/m³,11/06/2018 16:00,1528725902
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,15h,Buena,63 µg/m³,15h,Bona,48 µg/m³,NA,NA,NA,11/06/2018 16:00,1528725902
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,15h,Buena,95 µg/m³,15h,Bona,14 µg/m³,15h,Buena,20 µg/m³,11/06/2018 16:00,1528725902
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,14h,Buena,87 µg/m³,14h,Bona,15 µg/m³,15h,Buena,21 µg/m³,11/06/2018 16:00,1528725902
Sant Martí,Spain,Sant Martí District,241181.0,Buena,I2,01,08019004,2.2045,41.4039,NA,NA,NA,14h,Bona,61 µg/m³,15h,Buena,24 µg/m³,11/06/2018 16:00,1528725902
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,Buena,ID,01,08019042,2.1331,41.3788,NA,NA,NA,15h,Bona,13 µg/m³,NA,NA,NA,11/06/2018 17:00,1528729502
Eixample,Spain,"Eixample, Barcelona",269349.0,Buena,IH,01,08019043,2.1538,41.3853,15h,--,--,15h,--,--,16h,Buena,25 µg/m³,11/06/2018 17:00,1528729502
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,15h,Buena,80 µg/m³,15h,Bona,22 µg/m³,17h,Buena,21 µg/m³,11/06/2018 17:00,1528729502
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,15h,Buena,63 µg/m³,15h,Bona,48 µg/m³,NA,NA,NA,11/06/2018 17:00,1528729502
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,15h,Buena,95 µg/m³,15h,Bona,14 µg/m³,17h,Buena,20 µg/m³,11/06/2018 17:00,1528729502
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,17h,Buena,86 µg/m³,17h,Bona,13 µg/m³,17h,Buena,21 µg/m³,11/06/2018 17:00,1528729502
Sant Martí,Spain,Sant Martí District,241181.0,Buena,I2,01,08019004,2.2045,41.4039,NA,NA,NA,17h,Bona,40 µg/m³,17h,Buena,25 µg/m³,11/06/2018 17:00,1528729502
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,Buena,ID,01,08019042,2.1331,41.3788,NA,NA,NA,17h,Bona,10 µg/m³,NA,NA,NA,11/06/2018 18:00,1528733103
Eixample,Spain,"Eixample, Barcelona",269349.0,Buena,IH,01,08019043,2.1538,41.3853,17h,Buena,58 µg/m³,17h,Bona,58 µg/m³,17h,Buena,27 µg/m³,11/06/2018 18:00,1528733103
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,17h,Buena,71 µg/m³,17h,Bona,49 µg/m³,17h,Buena,22 µg/m³,11/06/2018 18:00,1528733103
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,17h,Buena,58 µg/m³,17h,Bona,40 µg/m³,NA,NA,NA,11/06/2018 18:00,1528733103
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,17h,Buena,89 µg/m³,17h,Bona,11 µg/m³,17h,Buena,20 µg/m³,11/06/2018 18:00,1528733103
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,17h,Buena,86 µg/m³,17h,Bona,13 µg/m³,17h,Buena,21 µg/m³,11/06/2018 18:00,1528733103
Sant Martí,Spain,Sant Martí District,241181.0,Buena,I2,01,08019004,2.2045,41.4039,NA,NA,NA,17h,Bona,40 µg/m³,17h,Buena,25 µg/m³,11/06/2018 18:00,1528733103
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,Buena,ID,01,08019042,2.1331,41.3788,NA,NA,NA,18h,Bona,10 µg/m³,NA,NA,NA,11/06/2018 19:00,1528736702
Eixample,Spain,"Eixample, Barcelona",269349.0,Buena,IH,01,08019043,2.1538,41.3853,18h,Buena,54 µg/m³,18h,Bona,64 µg/m³,18h,Buena,27 µg/m³,11/06/2018 19:00,1528736702
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,18h,Buena,68 µg/m³,18h,Bona,55 µg/m³,18h,Buena,22 µg/m³,11/06/2018 19:00,1528736702
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,18h,Buena,67 µg/m³,18h,Bona,27 µg/m³,NA,NA,NA,11/06/2018 19:00,1528736702
