nom_cabina,country,Commons category,population,calidad_aire,codi_dtes,zqa,codi_eoi,longitud,latitud,hora_o3,calidad_o3,valor_o3,hora_no2,calidad_no2,valor_no2,hora_pm10,calidad_pm10,valor_pm10,generat,dateTime
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,16h,Buena,69 µg/m³,16h,Bona,52 µg/m³,16h,Buena,27 µg/m³,14/06/2018 17:00,1528988703
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,16h,Buena,74 µg/m³,16h,Bona,19 µg/m³,NA,NA,NA,14/06/2018 17:00,1528988703
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,16h,Buena,92 µg/m³,16h,Bona,13 µg/m³,16h,Buena,22 µg/m³,14/06/2018 17:00,1528988703
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,16h,Buena,93 µg/m³,16h,Bona,15 µg/m³,16h,Buena,23 µg/m³,14/06/2018 17:00,1528988703
Sant Martí,Spain,Sant Martí District,241181.0,Buena,I2,01,08019004,2.2045,41.4039,NA,NA,NA,16h,Bona,19 µg/m³,16h,Buena,27 µg/m³,14/06/2018 17:00,1528988703
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,Buena,ID,01,08019042,2.1331,41.3788,NA,NA,NA,17h,Bona,15 µg/m³,NA,NA,NA,14/06/2018 18:00,1528992302
Eixample,Spain,"Eixample, Barcelona",269349.0,Buena,IH,01,08019043,2.1538,41.3853,17h,Buena,56 µg/m³,17h,Bona,74 µg/m³,17h,Buena,33 µg/m³,14/06/2018 18:00,1528992302
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,17h,Buena,59 µg/m³,17h,Bona,63 µg/m³,17h,Buena,27 µg/m³,14/06/2018 18:00,1528992302
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,17h,Buena,77 µg/m³,17h,Bona,14 µg/m³,NA,NA,NA,14/06/2018 18:00,1528992302
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,17h,Buena,92 µg/m³,17h,Bona,17 µg/m³,17h,Buena,22 µg/m³,14/06/2018 18:00,1528992302
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,17h,Buena,93 µg/m³,17h,Bona,16 µg/m³,17h,Buena,23 µg/m³,14/06/2018 18:00,1528992302
Sant Martí,Spain,Sant Martí District,241181.0,Buena,I2,01,08019004,2.2045,41.4039,NA,NA,NA,17h,Bona,22 µg/m³,17h,Buena,27 µg/m³,14/06/2018 18:00,1528992302
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,Buena,ID,01,08019042,2.1331,41.3788,NA,NA,NA,18h,Bona,17 µg/m³,NA,NA,NA,14/06/2018 19:00,1528995903
Eixample,Spain,"Eixample, Barcelona",269349.0,Buena,IH,01,08019043,2.1538,41.3853,18h,Buena,59 µg/m³,18h,Bona,72 µg/m³,18h,Buena,33 µg/m³,14/06/2018 19:00,1528995903
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,18h,Buena,61 µg/m³,18h,Bona,64 µg/m³,18h,Buena,28 µg/m³,14/06/2018 19:00,1528995903
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,18h,Buena,72 µg/m³,18h,Bona,17 µg/m³,NA,NA,NA,14/06/2018 19:00,1528995903
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,18h,Buena,91 µg/m³,18h,Bona,15 µg/m³,18h,Buena,22 µg/m³,14/06/2018 19:00,1528995903
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,18h,Buena,90 µg/m³,18h,Bona,18 µg/m³,18h,Buena,24 µg/m³,14/06/2018 19:00,1528995903
Sant Martí,Spain,Sant Martí District,241181.0,Buena,I2,01,08019004,2.2045,41.4039,NA,NA,NA,18h,Bona,19 µg/m³,18h,Buena,28 µg/m³,14/06/2018 19:00,1528995903
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,Buena,ID,01,08019042,2.1331,41.3788,NA,NA,NA,19h,Bona,25 µg/m³,NA,NA,NA,14/06/2018 20:00,1528999503
Eixample,Spain,"Eixample, Barcelona",269349.0,Buena,IH,01,08019043,2.1538,41.3853,19h,Buena,54 µg/m³,19h,Bona,86 µg/m³,19h,Buena,33 µg/m³,14/06/2018 20:00,1528999503
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,19h,Buena,67 µg/m³,19h,Bona,67 µg/m³,19h,Buena,28 µg/m³,14/06/2018 20:00,1528999503
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,19h,Buena,86 µg/m³,19h,Bona,16 µg/m³,NA,NA,NA,14/06/2018 20:00,1528999503
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,19h,Buena,88 µg/m³,19h,Bona,20 µg/m³,19h,Buena,22 µg/m³,14/06/2018 20:00,1528999503
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,18h,Buena,90 µg/m³,18h,Bona,18 µg/m³,19h,Buena,23 µg/m³,14/06/2018 20:00,1528999503
Sant Martí,Spain,Sant Martí District,241181.0,Buena,I2,01,08019004,2.2045,41.4039,NA,NA,NA,19h,Bona,20 µg/m³,19h,Buena,29 µg/m³,14/06/2018 20:00,1528999503
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,Buena,ID,01,08019042,2.1331,41.3788,NA,NA,NA,20h,Bona,28 µg/m³,NA,NA,NA,14/06/2018 21:00,1529003105
Eixample,Spain,"Eixample, Barcelona",269349.0,Buena,IH,01,08019043,2.1538,41.3853,20h,Buena,49 µg/m³,20h,Bona,89 µg/m³,20h,Buena,34 µg/m³,14/06/2018 21:00,1529003105
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,19h,Buena,67 µg/m³,19h,Bona,67 µg/m³,20h,Buena,28 µg/m³,14/06/2018 21:00,1529003105
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,20h,Buena,80 µg/m³,20h,Bona,26 µg/m³,NA,NA,NA,14/06/2018 21:00,1529003105
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,20h,Buena,69 µg/m³,20h,Bona,43 µg/m³,20h,Buena,23 µg/m³,14/06/2018 21:00,1529003105
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,20h,Buena,83 µg/m³,20h,Bona,37 µg/m³,20h,Buena,24 µg/m³,14/06/2018 21:00,1529003105
Sant Martí,Spain,Sant Martí District,241181.0,Buena,I2,01,08019004,2.2045,41.4039,NA,NA,NA,20h,Bona,24 µg/m³,20h,Buena,30 µg/m³,14/06/2018 21:00,1529003105
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,Buena,ID,01,08019042,2.1331,41.3788,NA,NA,NA,21h,Bona,23 µg/m³,NA,NA,NA,14/06/2018 22:00,1529006703
Eixample,Spain,"Eixample, Barcelona",269349.0,Buena,IH,01,08019043,2.1538,41.3853,20h,Buena,49 µg/m³,20h,Bona,89 µg/m³,21h,Buena,33 µg/m³,14/06/2018 22:00,1529006703
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,19h,Buena,67 µg/m³,19h,Bona,67 µg/m³,21h,Buena,28 µg/m³,14/06/2018 22:00,1529006703
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,21h,Buena,80 µg/m³,21h,Bona,25 µg/m³,NA,NA,NA,14/06/2018 22:00,1529006703
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,21h,Buena,85 µg/m³,21h,Bona,33 µg/m³,21h,Buena,24 µg/m³,14/06/2018 22:00,1529006703
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,21h,Buena,92 µg/m³,21h,Bona,27 µg/m³,21h,Buena,24 µg/m³,14/06/2018 22:00,1529006703
Sant Martí,Spain,Sant Martí District,241181.0,Buena,I2,01,08019004,2.2045,41.4039,NA,NA,NA,21h,Bona,29 µg/m³,21h,Buena,31 µg/m³,14/06/2018 22:00,1529006703
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,Buena,ID,01,08019042,2.1331,41.3788,NA,NA,NA,22h,Bona,28 µg/m³,NA,NA,NA,14/06/2018 23:00,1529010305
Eixample,Spain,"Eixample, Barcelona",269349.0,Buena,IH,01,08019043,2.1538,41.3853,20h,Buena,49 µg/m³,20h,Bona,89 µg/m³,22h,Buena,33 µg/m³,14/06/2018 23:00,1529010305
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,20h,--,--,20h,--,--,22h,Buena,28 µg/m³,14/06/2018 23:00,1529010305
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,22h,Buena,61 µg/m³,22h,Bona,47 µg/m³,NA,NA,NA,14/06/2018 23:00,1529010305
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,22h,Buena,85 µg/m³,22h,Bona,27 µg/m³,22h,Buena,24 µg/m³,14/06/2018 23:00,1529010305
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,22h,Buena,88 µg/m³,22h,Bona,29 µg/m³,22h,Buena,24 µg/m³,14/06/2018 23:00,1529010305
Sant Martí,Spain,Sant Martí District,241181.0,Buena,I2,01,08019004,2.2045,41.4039,NA,NA,NA,22h,Bona,37 µg/m³,22h,Buena,32 µg/m³,14/06/2018 23:00,1529010305
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,Buena,ID,01,08019042,2.1331,41.3788,NA,NA,NA,23h,Bona,18 µg/m³,NA,NA,NA,15/06/2018 0:00,1529013903
Eixample,Spain,"Eixample, Barcelona",269349.0,Buena,IH,01,08019043,2.1538,41.3853,NA,NA,NA,NA,NA,NA,23h,Buena,33 µg/m³,15/06/2018 0:00,1529013903
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,NA,NA,NA,NA,NA,NA,23h,Buena,28 µg/m³,15/06/2018 0:00,1529013903
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,23h,Buena,60 µg/m³,23h,Bona,46 µg/m³,NA,NA,NA,15/06/2018 0:00,1529013903
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,23h,Buena,73 µg/m³,23h,Bona,34 µg/m³,23h,Buena,24 µg/m³,15/06/2018 0:00,1529013903
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,23h,Buena,90 µg/m³,23h,Bona,23 µg/m³,23h,Buena,24 µg/m³,15/06/2018 0:00,1529013903
Sant Martí,Spain,Sant Martí District,241181.0,Buena,I2,01,08019004,2.2045,41.4039,NA,NA,NA,23h,Bona,60 µg/m³,23h,Buena,32 µg/m³,15/06/2018 0:00,1529013903
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,Buena,ID,01,08019042,2.1331,41.3788,NA,NA,NA,0h,Bona,19 µg/m³,NA,NA,NA,15/06/2018 1:00,1529017505
Eixample,Spain,"Eixample, Barcelona",269349.0,Buena,IH,01,08019043,2.1538,41.3853,0h,Buena,65 µg/m³,0h,Bona,34 µg/m³,0h,Buena,33 µg/m³,15/06/2018 1:00,1529017505
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,0h,Buena,72 µg/m³,0h,Bona,38 µg/m³,0h,Buena,29 µg/m³,15/06/2018 1:00,1529017505
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,0h,Buena,54 µg/m³,0h,Bona,39 µg/m³,NA,NA,NA,15/06/2018 1:00,1529017505
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,0h,Buena,81 µg/m³,0h,Bona,23 µg/m³,0h,Buena,24 µg/m³,15/06/2018 1:00,1529017505
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,0h,Buena,66 µg/m³,0h,Bona,33 µg/m³,0h,Buena,23 µg/m³,15/06/2018 1:00,1529017505
Sant Martí,Spain,Sant Martí District,241181.0,Buena,I2,01,08019004,2.2045,41.4039,NA,NA,NA,0h,Bona,35 µg/m³,0h,Buena,33 µg/m³,15/06/2018 1:00,1529017505
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,Buena,ID,01,08019042,2.1331,41.3788,NA,NA,NA,1h,Bona,16 µg/m³,NA,NA,NA,15/06/2018 2:00,1529021102
Eixample,Spain,"Eixample, Barcelona",269349.0,Buena,IH,01,08019043,2.1538,41.3853,1h,Buena,51 µg/m³,1h,Bona,51 µg/m³,1h,Buena,33 µg/m³,15/06/2018 2:00,1529021102
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,1h,Buena,65 µg/m³,1h,Bona,37 µg/m³,1h,Buena,28 µg/m³,15/06/2018 2:00,1529021102
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,1h,Buena,35 µg/m³,1h,Bona,55 µg/m³,NA,NA,NA,15/06/2018 2:00,1529021102
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,1h,Buena,41 µg/m³,1h,Bona,57 µg/m³,1h,Buena,24 µg/m³,15/06/2018 2:00,1529021102
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,1h,Buena,42 µg/m³,1h,Bona,46 µg/m³,1h,Buena,23 µg/m³,15/06/2018 2:00,1529021102
Sant Martí,Spain,Sant Martí District,241181.0,Buena,I2,01,08019004,2.2045,41.4039,NA,NA,NA,1h,Bona,50 µg/m³,1h,Buena,33 µg/m³,15/06/2018 2:00,1529021102
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,Buena,ID,01,08019042,2.1331,41.3788,NA,NA,NA,2h,Bona,38 µg/m³,NA,NA,NA,15/06/2018 3:00,1529024705
Eixample,Spain,"Eixample, Barcelona",269349.0,Buena,IH,01,08019043,2.1538,41.3853,2h,Buena,36 µg/m³,2h,Bona,55 µg/m³,2h,Buena,33 µg/m³,15/06/2018 3:00,1529024705
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,2h,Buena,45 µg/m³,2h,Bona,50 µg/m³,2h,Buena,28 µg/m³,15/06/2018 3:00,1529024705
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,2h,Buena,18 µg/m³,2h,Bona,66 µg/m³,NA,NA,NA,15/06/2018 3:00,1529024705
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,2h,Buena,36 µg/m³,2h,Bona,48 µg/m³,2h,Buena,23 µg/m³,15/06/2018 3:00,1529024705
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,2h,Buena,45 µg/m³,2h,Bona,35 µg/m³,2h,Buena,23 µg/m³,15/06/2018 3:00,1529024705
Sant Martí,Spain,Sant Martí District,241181.0,Buena,I2,01,08019004,2.2045,41.4039,NA,NA,NA,2h,Bona,51 µg/m³,2h,Buena,33 µg/m³,15/06/2018 3:00,1529024705
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,Buena,ID,01,08019042,2.1331,41.3788,NA,NA,NA,3h,Bona,36 µg/m³,NA,NA,NA,15/06/2018 4:00,1529028302
Eixample,Spain,"Eixample, Barcelona",269349.0,Buena,IH,01,08019043,2.1538,41.3853,3h,Buena,31 µg/m³,3h,Bona,58 µg/m³,3h,Buena,34 µg/m³,15/06/2018 4:00,1529028302
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,2h,Buena,45 µg/m³,2h,Bona,50 µg/m³,3h,Buena,28 µg/m³,15/06/2018 4:00,1529028302
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,3h,Buena,32 µg/m³,3h,Bona,46 µg/m³,NA,NA,NA,15/06/2018 4:00,1529028302
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,3h,Buena,34 µg/m³,3h,Bona,47 µg/m³,3h,Buena,23 µg/m³,15/06/2018 4:00,1529028302
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,3h,Buena,38 µg/m³,3h,Bona,37 µg/m³,4h,Buena,23 µg/m³,15/06/2018 4:00,1529028302
Sant Martí,Spain,Sant Martí District,241181.0,Buena,I2,01,08019004,2.2045,41.4039,NA,NA,NA,3h,Bona,24 µg/m³,4h,Buena,33 µg/m³,15/06/2018 4:00,1529028302
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,Buena,ID,01,08019042,2.1331,41.3788,NA,NA,NA,3h,Bona,36 µg/m³,NA,NA,NA,15/06/2018 5:00,1529031905
Eixample,Spain,"Eixample, Barcelona",269349.0,Buena,IH,01,08019043,2.1538,41.3853,4h,Buena,58 µg/m³,4h,Bona,23 µg/m³,4h,Buena,33 µg/m³,15/06/2018 5:00,1529031905
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,2h,Buena,45 µg/m³,2h,Bona,50 µg/m³,4h,Buena,29 µg/m³,15/06/2018 5:00,1529031905
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,4h,Buena,45 µg/m³,4h,Bona,34 µg/m³,NA,NA,NA,15/06/2018 5:00,1529031905
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,4h,Buena,21 µg/m³,4h,Bona,53 µg/m³,4h,Buena,23 µg/m³,15/06/2018 5:00,1529031905
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,4h,Buena,47 µg/m³,4h,Bona,25 µg/m³,4h,Buena,23 µg/m³,15/06/2018 5:00,1529031905
Sant Martí,Spain,Sant Martí District,241181.0,Buena,I2,01,08019004,2.2045,41.4039,NA,NA,NA,4h,Bona,38 µg/m³,4h,Buena,32 µg/m³,15/06/2018 5:00,1529031905
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,Buena,ID,01,08019042,2.1331,41.3788,NA,NA,NA,3h,Bona,36 µg/m³,NA,NA,NA,15/06/2018 6:00,1529035503
Eixample,Spain,"Eixample, Barcelona",269349.0,Buena,IH,01,08019043,2.1538,41.3853,5h,Buena,57 µg/m³,5h,Bona,25 µg/m³,5h,Buena,33 µg/m³,15/06/2018 6:00,1529035503
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,3h,--,--,3h,--,--,5h,Buena,30 µg/m³,15/06/2018 6:00,1529035503
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,5h,Buena,52 µg/m³,5h,Bona,20 µg/m³,NA,NA,NA,15/06/2018 6:00,1529035503
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,5h,Buena,29 µg/m³,5h,Bona,44 µg/m³,5h,Buena,23 µg/m³,15/06/2018 6:00,1529035503
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,5h,Buena,40 µg/m³,5h,Bona,28 µg/m³,5h,Buena,23 µg/m³,15/06/2018 6:00,1529035503
Sant Martí,Spain,Sant Martí District,241181.0,Buena,I2,01,08019004,2.2045,41.4039,NA,NA,NA,5h,Bona,29 µg/m³,5h,Buena,32 µg/m³,15/06/2018 6:00,1529035503
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,--,ID,01,08019042,2.1331,41.3788,NA,NA,NA,4h,--,--,NA,NA,NA,15/06/2018 7:00,1529039102
Eixample,Spain,"Eixample, Barcelona",269349.0,Buena,IH,01,08019043,2.1538,41.3853,6h,Buena,33 µg/m³,6h,Bona,41 µg/m³,6h,Buena,33 µg/m³,15/06/2018 7:00,1529039102
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,4h,--,--,4h,--,--,6h,Buena,30 µg/m³,15/06/2018 7:00,1529039102
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,6h,Buena,26 µg/m³,6h,Bona,39 µg/m³,NA,NA,NA,15/06/2018 7:00,1529039102
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,6h,Buena,32 µg/m³,6h,Bona,38 µg/m³,6h,Buena,23 µg/m³,15/06/2018 7:00,1529039102
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,6h,Buena,37 µg/m³,6h,Bona,33 µg/m³,6h,Buena,23 µg/m³,15/06/2018 7:00,1529039102
Sant Martí,Spain,Sant Martí District,241181.0,Buena,I2,01,08019004,2.2045,41.4039,NA,NA,NA,6h,Bona,45 µg/m³,6h,Buena,32 µg/m³,15/06/2018 7:00,1529039102
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,--,ID,01,08019042,2.1331,41.3788,NA,NA,NA,5h,--,--,NA,NA,NA,15/06/2018 8:00,1529042705
Eixample,Spain,"Eixample, Barcelona",269349.0,Buena,IH,01,08019043,2.1538,41.3853,7h,Buena,30 µg/m³,7h,Bona,42 µg/m³,7h,Buena,33 µg/m³,15/06/2018 8:00,1529042705
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,7h,Buena,35 µg/m³,7h,Bona,43 µg/m³,7h,Buena,29 µg/m³,15/06/2018 8:00,1529042705
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,7h,Buena,21 µg/m³,7h,Bona,43 µg/m³,NA,NA,NA,15/06/2018 8:00,1529042705
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,7h,Buena,42 µg/m³,7h,Bona,24 µg/m³,8h,Buena,24 µg/m³,15/06/2018 8:00,1529042705
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,7h,Buena,44 µg/m³,7h,Bona,24 µg/m³,7h,Buena,23 µg/m³,15/06/2018 8:00,1529042705
Sant Martí,Spain,Sant Martí District,241181.0,Buena,I2,01,08019004,2.2045,41.4039,NA,NA,NA,7h,Bona,58 µg/m³,7h,Buena,33 µg/m³,15/06/2018 8:00,1529042705
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,Buena,ID,01,08019042,2.1331,41.3788,NA,NA,NA,8h,Bona,29 µg/m³,NA,NA,NA,15/06/2018 9:00,1529046303
Eixample,Spain,"Eixample, Barcelona",269349.0,Buena,IH,01,08019043,2.1538,41.3853,8h,Buena,28 µg/m³,8h,Bona,43 µg/m³,8h,Buena,33 µg/m³,15/06/2018 9:00,1529046303
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,8h,Buena,33 µg/m³,8h,Bona,45 µg/m³,8h,Buena,29 µg/m³,15/06/2018 9:00,1529046303
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,8h,Buena,30 µg/m³,8h,Bona,35 µg/m³,NA,NA,NA,15/06/2018 9:00,1529046303
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,8h,Buena,42 µg/m³,8h,Bona,25 µg/m³,8h,Buena,24 µg/m³,15/06/2018 9:00,1529046303
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,8h,Buena,44 µg/m³,8h,Bona,24 µg/m³,8h,Buena,24 µg/m³,15/06/2018 9:00,1529046303
Sant Martí,Spain,Sant Martí District,241181.0,Buena,I2,01,08019004,2.2045,41.4039,NA,NA,NA,8h,Bona,48 µg/m³,8h,Buena,32 µg/m³,15/06/2018 9:00,1529046303
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,Buena,ID,01,08019042,2.1331,41.3788,NA,NA,NA,9h,Bona,33 µg/m³,NA,NA,NA,15/06/2018 10:00,1529049902
Eixample,Spain,"Eixample, Barcelona",269349.0,Buena,IH,01,08019043,2.1538,41.3853,9h,Buena,19 µg/m³,9h,Bona,77 µg/m³,10h,Buena,35 µg/m³,15/06/2018 10:00,1529049902
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,9h,Buena,26 µg/m³,9h,Bona,55 µg/m³,10h,Buena,29 µg/m³,15/06/2018 10:00,1529049902
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,9h,Buena,36 µg/m³,9h,Bona,31 µg/m³,NA,NA,NA,15/06/2018 10:00,1529049902
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,9h,Buena,45 µg/m³,9h,Bona,18 µg/m³,9h,Buena,24 µg/m³,15/06/2018 10:00,1529049902
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,9h,Buena,46 µg/m³,9h,Bona,21 µg/m³,9h,Buena,24 µg/m³,15/06/2018 10:00,1529049902
Sant Martí,Spain,Sant Martí District,241181.0,Buena,I2,01,08019004,2.2045,41.4039,NA,NA,NA,8h,Bona,48 µg/m³,9h,Buena,31 µg/m³,15/06/2018 10:00,1529049902
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,Buena,ID,01,08019042,2.1331,41.3788,NA,NA,NA,10h,Bona,39 µg/m³,NA,NA,NA,15/06/2018 11:00,1529053503
Eixample,Spain,"Eixample, Barcelona",269349.0,Buena,IH,01,08019043,2.1538,41.3853,10h,Buena,16 µg/m³,10h,Bona,69 µg/m³,10h,Buena,35 µg/m³,15/06/2018 11:00,1529053503
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,10h,Buena,25 µg/m³,10h,Bona,57 µg/m³,10h,Buena,29 µg/m³,15/06/2018 11:00,1529053503
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,10h,Buena,29 µg/m³,10h,Bona,37 µg/m³,NA,NA,NA,15/06/2018 11:00,1529053503
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,10h,Buena,35 µg/m³,10h,Bona,30 µg/m³,10h,Buena,24 µg/m³,15/06/2018 11:00,1529053503
