fecha,cod_municipio,municipio,cod_distrito,distrito,cod_barrio,barrio,num_personas,num_personas_hombres,num_personas_mujeres
2024-01-01T00:00:00Z,28079,Madrid,8,Fuencarral-el Pardo,81,El Pardo,346,1729,1731
2024-01-01T00:00:00Z,28079,Madrid,8,Fuencarral-el Pardo,82,Fuentelarreina,3498,1591,1907
2024-01-01T00:00:00Z,28079,Madrid,8,Fuencarral-el Pardo,83,Penagrande,44844,20857,23987
2024-01-01T00:00:00Z,28079,Madrid,8,Fuencarral-el Pardo,84,Pilar,46543,21173,2537
2024-01-01T00:00:00Z,28079,Madrid,8,Fuencarral-el Pardo,85,La Paz,32343,15008,17335
2024-01-01T00:00:00Z,28079,Madrid,8,Fuencarral-el Pardo,86,Valverde,6687,3199,3488
2024-01-01T00:00:00Z,28079,Madrid,8,Fuencarral-el Pardo,87,Mirasierra,36744,17679,19065
2024-01-01T00:00:00Z,28079,Madrid,8,Fuencarral-el Pardo,88,El Goloso,19596,9694,9902
2024-01-01T00:00:00Z,28079,Madrid,9,Moncloa-aravaca,91,Casa De Campo,12946,6047,6899
2024-01-01T00:00:00Z,28079,Madrid,9,Moncloa-aravaca,92,Argüelles,24987,11492,13495
2024-01-01T00:00:00Z,28079,Madrid,9,Moncloa-aravaca,93,Ciudad Universitaria,16876,7835,9041
2024-01-01T00:00:00Z,28079,Madrid,9,Moncloa-aravaca,94,Valdezarza,31614,14578,17036
2024-01-01T00:00:00Z,28079,Madrid,9,Moncloa-aravaca,95,Valdemarin,7451,3491,396
2024-01-01T00:00:00Z,28079,Madrid,9,Moncloa-aravaca,96,El Plantio,3156,1467,1689
2024-01-01T00:00:00Z,28079,Madrid,9,Moncloa-aravaca,97,Aravaca,28193,13211,14982
2024-01-01T00:00:00Z,28079,Madrid,10,Latina,101,Los Carmenes,18423,8757,9666
2024-01-01T00:00:00Z,28079,Madrid,10,Latina,102,Puerta Del Angel,45513,21325,24188
2024-01-01T00:00:00Z,28079,Madrid,10,Latina,103,Lucero,38072,17835,20237
2024-01-01T00:00:00Z,28079,Madrid,10,Latina,104,Aluche,68973,31619,37354
2024-01-01T00:00:00Z,28079,Madrid,10,Latina,105,Campamento,20657,9511,11146
2024-01-01T00:00:00Z,28079,Madrid,10,Latina,106,Cuatro Vientos,6417,3192,3225
2024-01-01T00:00:00Z,28079,Madrid,10,Latina,107,Águilas,52341,24198,28143
2024-01-01T00:00:00Z,28079,Madrid,11,Carabanchel,111,Comillas,23466,10873,12593
2024-01-01T00:00:00Z,28079,Madrid,11,Carabanchel,112,Opanel,35513,16394,19119
2024-01-01T00:00:00Z,28079,Madrid,11,Carabanchel,113,San Isidro,42184,19962,22222
2024-01-01T00:00:00Z,28079,Madrid,11,Carabanchel,114,Vista Alegre,50153,23083,2707
2024-01-01T00:00:00Z,28079,Madrid,11,Carabanchel,115,Puerta Bonita,38781,1836,20421
2024-01-01T00:00:00Z,28079,Madrid,11,Carabanchel,116,Buenavista,5104,2474,263
2024-01-01T00:00:00Z,28079,Madrid,11,Carabanchel,117,Abrantes,33269,15585,17684
2024-01-01T00:00:00Z,28079,Madrid,12,Usera,121,Orcasitas,23482,1101,12472
2024-01-01T00:00:00Z,28079,Madrid,12,Usera,122,Orcasur,14851,7207,7644
2024-01-01T00:00:00Z,28079,Madrid,12,Usera,123,San Fermin,2451,11716,12794
2024-01-01T00:00:00Z,28079,Madrid,12,Usera,124,Almendrales,23927,11389,12538
2024-01-01T00:00:00Z,28079,Madrid,12,Usera,125,Moscardo,27873,13169,14704
2024-01-01T00:00:00Z,28079,Madrid,12,Usera,126,Zofio,15298,7166,8132
2024-01-01T00:00:00Z,28079,Madrid,12,Usera,127,Pradolongo,19172,9144,10028
2024-01-01T00:00:00Z,28079,Madrid,13,Puente De Vallecas,131,Entrevias,36851,17711,1914
2024-01-01T00:00:00Z,28079,Madrid,13,Puente De Vallecas,132,San Diego,49339,23856,25483
2024-01-01T00:00:00Z,28079,Madrid,13,Puente De Vallecas,133,Palomeras Bajas,41755,19533,22222
2024-01-01T00:00:00Z,28079,Madrid,13,Puente De Vallecas,134,Palomeras Sureste,44396,21125,23271
2024-01-01T00:00:00Z,28079,Madrid,13,Puente De Vallecas,135,Portazgo,29746,1396,15786
2024-01-01T00:00:00Z,28079,Madrid,13,Puente De Vallecas,136,Numancia,50961,24345,26616
2024-01-01T00:00:00Z,28079,Madrid,14,Moratalaz,141,Pavones,9208,424,4968
2024-01-01T00:00:00Z,28079,Madrid,14,Moratalaz,142,Horcajo,6421,3069,3352
2024-01-01T00:00:00Z,28079,Madrid,14,Moratalaz,143,Marroquina,26378,12105,14273
2024-01-01T00:00:00Z,28079,Madrid,14,Moratalaz,144,Media Legua,17787,8073,9714
2024-01-01T00:00:00Z,28079,Madrid,14,Moratalaz,145,Fontarron,180,8189,9811
2024-01-01T00:00:00Z,28079,Madrid,14,Moratalaz,146,Vinateros,17329,7736,9593
2024-01-01T00:00:00Z,28079,Madrid,15,Ciudad Lineal,151,Ventas,52223,23931,28292
2024-01-01T00:00:00Z,28079,Madrid,15,Ciudad Lineal,152,Pueblo Nuevo,65874,30575,35299
2024-01-01T00:00:00Z,28079,Madrid,15,Ciudad Lineal,153,Quintana,26762,12145,14617
2024-01-01T00:00:00Z,28079,Madrid,15,Ciudad Lineal,154,La Concepcion,22256,10138,12118
2024-01-01T00:00:00Z,28079,Madrid,15,Ciudad Lineal,155,San Pascual,19019,867,10349
2024-01-01T00:00:00Z,28079,Madrid,15,Ciudad Lineal,156,San Juan Bautista,1312,6159,6961
2024-01-01T00:00:00Z,28079,Madrid,15,Ciudad Lineal,157,Colina,681,3063,3747
