num_expediente,fecha,hora,localizacion,numero,cod_distrito,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga
2025S000081,2025-01-01T00:00:00Z,12:00:00,"Call. Justa Garcia, 3",3,12,Usera,Colision Lateral,,Turismo,Conductor,Desconocido,Desconocido,,,439770,4470485,false,
2025S000082,2025-01-01T00:00:00Z,12:30:00,Avda. Niceto Alcala Zamora / Call. Julio Casares,3,16,Hortaleza,Choque Contra Obstaculo Fijo,Despejado,Turismo,Conductor,Desconocido,Desconocido,,,445225,4482368,false,
2025S000085,2025-01-01T00:00:00Z,14:40:00,Call. Santuario / Call. Cristo De Lepanto,64,12,Usera,Alcance,Despejado,Motocicleta hasta 125cc,Conductor,30-34,F,3,Ingreso superior a 24 horas,440626,4470360,false,
2025S000085,2025-01-01T00:00:00Z,14:40:00,Call. Santuario / Call. Cristo De Lepanto,64,12,Usera,Alcance,Despejado,Turismo,Conductor,35-39,M,14,Sin asistencia sanitaria,440626,4470360,false,
2025S000085,2025-01-01T00:00:00Z,14:40:00,Call. Santuario / Call. Cristo De Lepanto,64,12,Usera,Alcance,Despejado,Turismo,Conductor,Desconocido,Desconocido,,,440626,4470360,false,
2025S000085,2025-01-01T00:00:00Z,14:40:00,Call. Santuario / Call. Cristo De Lepanto,64,12,Usera,Alcance,Despejado,Turismo,Pasajero,21-24,M,14,Sin asistencia sanitaria,440626,4470360,false,
2025S000086,2025-01-01T00:00:00Z,14:50:00,"Plaza. Alsacia, 1",1,20,San Blas-canillejas,Choque Contra Obstaculo Fijo,Despejado,Turismo,Conductor,50-54,M,14,Sin asistencia sanitaria,447046,4474268,false,false
2025S000087,2025-01-01T00:00:00Z,15:00:00,Gta. Oswaldo Paya Sardiñas / Call. Las Pedroñeras,0,16,Hortaleza,Colision Fronto-lateral,Despejado,Turismo,Conductor,18-20,M,,,446111,4479587,false,
2025S000087,2025-01-01T00:00:00Z,15:00:00,Gta. Oswaldo Paya Sardiñas / Call. Las Pedroñeras,0,16,Hortaleza,Colision Fronto-lateral,Despejado,Turismo,Conductor,45-49,M,14,Sin asistencia sanitaria,446111,4479587,false,
2025S000087,2025-01-01T00:00:00Z,15:00:00,Gta. Oswaldo Paya Sardiñas / Call. Las Pedroñeras,0,16,Hortaleza,Colision Fronto-lateral,Despejado,Turismo,Pasajero,10-14,F,,,446111,4479587,false,
2025S000087,2025-01-01T00:00:00Z,15:00:00,Gta. Oswaldo Paya Sardiñas / Call. Las Pedroñeras,0,16,Hortaleza,Colision Fronto-lateral,Despejado,Turismo,Pasajero,50-54,M,,,446111,4479587,false,
2025S000088,2025-01-01T00:00:00Z,17:10:00,Call. Oca / Call. General Ricardos,2,11,Carabanchel,Otro,Despejado,Bicicleta,Conductor,35-39,M,7,Asistencia sanitaria sólo en el lugar del accidente,437920,4471163,false,
2025S000088,2025-01-01T00:00:00Z,17:10:00,Call. Oca / Call. General Ricardos,2,11,Carabanchel,Otro,Despejado,Turismo,Conductor,45-49,M,14,Sin asistencia sanitaria,437920,4471163,false,
2025S000089,2025-01-01T00:00:00Z,17:15:00,"Call. Doctor Castelo, 49",49,3,Retiro,Colision Lateral,,Turismo,Conductor,40-44,F,,,443056,4474604,false,
2025S000089,2025-01-01T00:00:00Z,17:15:00,"Call. Doctor Castelo, 49",49,3,Retiro,Colision Lateral,,Turismo,Conductor,45-49,F,,,443056,4474604,false,
2025S000095,2025-01-01T00:00:00Z,19:50:00,"Call. Isabelita Usera, 26",26,12,Usera,Alcance,Despejado,Turismo,Conductor,35-39,F,14,Sin asistencia sanitaria,439909,4470633,false,
2025S000095,2025-01-01T00:00:00Z,19:50:00,"Call. Isabelita Usera, 26",26,12,Usera,Alcance,Despejado,Turismo,Conductor,40-44,F,14,Sin asistencia sanitaria,439909,4470633,false,
2025S000097,2025-01-01T00:00:00Z,19:45:00,Call. Generosidad / Call. Villafuerte,22,17,Villaverde,Caida,Despejado,Bicicleta,Conductor,30-34,M,7,Asistencia sanitaria sólo en el lugar del accidente,441441,4467570,false,
2025S000099,2025-01-01T00:00:00Z,18:52:00,"Call. Cardenal Siliceo, 21",21,5,Chamartin,Choque Contra Obstaculo Fijo,Despejado,Turismo,Conductor,Desconocido,Desconocido,,,443148,4477296,false,
2025S000100,2025-01-01T00:00:00Z,14:30:00,Call. Francisco Villaespesa / Call. Lago Constanza,69,15,Ciudad Lineal,Colision Lateral,Despejado,Turismo,Conductor,55-59,M,14,Sin asistencia sanitaria,445215,4475591,false,
2025S000100,2025-01-01T00:00:00Z,14:30:00,Call. Francisco Villaespesa / Call. Lago Constanza,69,15,Ciudad Lineal,Colision Lateral,Despejado,Turismo,Conductor,55-59,F,14,Sin asistencia sanitaria,445215,4475591,false,
2025S000100,2025-01-01T00:00:00Z,14:30:00,Call. Francisco Villaespesa / Call. Lago Constanza,69,15,Ciudad Lineal,Colision Lateral,Despejado,Turismo,Pasajero,25-29,F,14,Sin asistencia sanitaria,445215,4475591,false,
2025S000100,2025-01-01T00:00:00Z,14:30:00,Call. Francisco Villaespesa / Call. Lago Constanza,69,15,Ciudad Lineal,Colision Lateral,Despejado,Turismo,Pasajero,60-64,M,14,Sin asistencia sanitaria,445215,4475591,false,
2025S000100,2025-01-01T00:00:00Z,14:30:00,Call. Francisco Villaespesa / Call. Lago Constanza,69,15,Ciudad Lineal,Colision Lateral,Despejado,Turismo,Pasajero,Más74,F,14,Sin asistencia sanitaria,445215,4475591,false,
2025S000101,2025-01-01T00:00:00Z,19:35:00,Call. Valle De Mena / Call. Candido Mateos,2,8,Fuencarral-el Pardo,Colision Lateral,Despejado,Turismo,Conductor,21-24,M,,,439059,4480288,false,
2025S000101,2025-01-01T00:00:00Z,19:35:00,Call. Valle De Mena / Call. Candido Mateos,2,8,Fuencarral-el Pardo,Colision Lateral,Despejado,Turismo,Conductor,40-44,M,,,439059,4480288,false,
2025S000101,2025-01-01T00:00:00Z,19:35:00,Call. Valle De Mena / Call. Candido Mateos,2,8,Fuencarral-el Pardo,Colision Lateral,Despejado,Turismo,Pasajero,35-39,F,,,439059,4480288,false,
2025S000101,2025-01-01T00:00:00Z,19:35:00,Call. Valle De Mena / Call. Candido Mateos,2,8,Fuencarral-el Pardo,Colision Lateral,Despejado,Turismo,Pasajero,Menor5,F,,,439059,4480288,false,
2025S000102,2025-01-01T00:00:00Z,19:50:00,Call. Samaniego / Call. Arrastaria,3,20,San Blas-canillejas,Colision Fronto-lateral,Despejado,Motocicleta > 125cc,Conductor,30-34,M,7,Asistencia sanitaria sólo en el lugar del accidente,450387,4477438,false,
2025S000102,2025-01-01T00:00:00Z,19:50:00,Call. Samaniego / Call. Arrastaria,3,20,San Blas-canillejas,Colision Fronto-lateral,Despejado,Turismo,Conductor,55-59,M,14,Sin asistencia sanitaria,450387,4477438,false,
2025S000102,2025-01-01T00:00:00Z,19:50:00,Call. Samaniego / Call. Arrastaria,3,20,San Blas-canillejas,Colision Fronto-lateral,Despejado,Turismo,Pasajero,15-17,F,14,Sin asistencia sanitaria,450387,4477438,false,
2025S000102,2025-01-01T00:00:00Z,19:50:00,Call. Samaniego / Call. Arrastaria,3,20,San Blas-canillejas,Colision Fronto-lateral,Despejado,Turismo,Pasajero,50-54,F,14,Sin asistencia sanitaria,450387,4477438,false,
2025S000103,2025-01-01T00:00:00Z,20:20:00,Call. Puerto Alto / Call. Sierra Del Castillo,35,13,Puente De Vallecas,Choque Contra Obstaculo Fijo,Despejado,Turismo,Conductor,60-64,M,,,443283,4471608,false,
2025S000103,2025-01-01T00:00:00Z,20:20:00,Call. Puerto Alto / Call. Sierra Del Castillo,35,13,Puente De Vallecas,Choque Contra Obstaculo Fijo,Despejado,Turismo,Conductor,Desconocido,Desconocido,,,443283,4471608,false,
