num_expediente,fecha,hora,localizacion,numero,cod_distrito,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga
2025S012290,2025-02-03T00:00:00Z,12:50:00,"Call. Doctor Jimenez Diaz, 0",0,9,Moncloa-aravaca,Colision Fronto-lateral,Despejado,Turismo,Conductor,65-69,M,,,439002,4476787,false,
2025S012290,2025-02-03T00:00:00Z,12:50:00,"Call. Doctor Jimenez Diaz, 0",0,9,Moncloa-aravaca,Colision Fronto-lateral,Despejado,Turismo,Conductor,Desconocido,Desconocido,,,439002,4476787,false,
2025S012321,2025-02-03T00:00:00Z,14:15:00,"Avda. Bruselas, 66",66,4,Salamanca,Otro,Despejado,Motocicleta hasta 125cc,Conductor,25-29,M,14,Sin asistencia sanitaria,443785,4476848,false,
2025S012321,2025-02-03T00:00:00Z,14:15:00,"Avda. Bruselas, 66",66,4,Salamanca,Otro,Despejado,Motocicleta hasta 125cc,Conductor,40-44,M,14,Sin asistencia sanitaria,443785,4476848,false,
2025S012328,2025-02-03T00:00:00Z,14:20:00,"Call. Pedro Rico, 6",6,8,Fuencarral-el Pardo,Choque Contra Obstaculo Fijo,Despejado,Turismo,Conductor,55-59,M,14,Sin asistencia sanitaria,441624,4481525,false,
2025S012328,2025-02-03T00:00:00Z,14:20:00,"Call. Pedro Rico, 6",6,8,Fuencarral-el Pardo,Choque Contra Obstaculo Fijo,Despejado,Turismo,Conductor,65-69,M,14,Sin asistencia sanitaria,441624,4481525,false,
2025S012329,2025-02-03T00:00:00Z,15:04:00,Call. Mejia Lequerica / Call. Beneficencia,7,1,Centro,Colision Fronto-lateral,Despejado,Motocicleta > 125cc,Conductor,50-54,F,3,Ingreso superior a 24 horas,440776,4475355,false,
2025S012329,2025-02-03T00:00:00Z,15:04:00,Call. Mejia Lequerica / Call. Beneficencia,7,1,Centro,Colision Fronto-lateral,Despejado,Turismo,Conductor,55-59,F,14,Sin asistencia sanitaria,440776,4475355,false,
2025S012336,2025-02-03T00:00:00Z,14:50:00,"Call. Hermanos Garcia Noblejas, 53",53,20,San Blas-canillejas,Atropello A Persona,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,18-20,M,7,Asistencia sanitaria sólo en el lugar del accidente,446417,4475617,false,
2025S012336,2025-02-03T00:00:00Z,14:50:00,"Call. Hermanos Garcia Noblejas, 53",53,20,San Blas-canillejas,Atropello A Persona,Despejado,Bicicleta EPAC (pedaleo asistido),Peatón,6-9,F,5,Asistencia sanitaria ambulatoria con posterioridad,446417,4475617,false,
2025S012341,2025-02-03T00:00:00Z,16:15:00,"Calle Pirotecnia, 55",55,19,Vicalvaro,Colision Lateral,Despejado,Furgoneta,Conductor,30-34,M,,,449734,4471939,false,
2025S012341,2025-02-03T00:00:00Z,16:15:00,"Calle Pirotecnia, 55",55,19,Vicalvaro,Colision Lateral,Despejado,Tractocamión,Conductor,35-39,M,,,449734,4471939,false,
2025S012353,2025-02-03T00:00:00Z,15:15:00,"Call. Santa Cruz De Marcenado, 25",25,1,Centro,Colision Fronto-lateral,,Turismo,Conductor,50-54,M,,,439647,4475650,false,
2025S012353,2025-02-03T00:00:00Z,15:15:00,"Call. Santa Cruz De Marcenado, 25",25,1,Centro,Colision Fronto-lateral,,Turismo,Conductor,Desconocido,Desconocido,,,439647,4475650,false,
2025S012372,2025-02-03T00:00:00Z,16:35:00,Call. Allende / Paseo. Extremadura,0,10,Latina,Otro,Despejado,Turismo,Conductor,25-29,M,,,433880,4471155,false,
2025S012376,2025-02-03T00:00:00Z,14:30:00,Call. Serrano / Call. General Oraa,118,4,Salamanca,Colision Lateral,Despejado,Motocicleta hasta 125cc,Conductor,35-39,M,7,Asistencia sanitaria sólo en el lugar del accidente,441786,4476412,false,
2025S012376,2025-02-03T00:00:00Z,14:30:00,Call. Serrano / Call. General Oraa,118,4,Salamanca,Colision Lateral,Despejado,Turismo,Conductor,55-59,M,14,Sin asistencia sanitaria,441786,4476412,false,
2025S012377,2025-02-03T00:00:00Z,14:35:00,"Call. Valmojado, 163",163,10,Latina,Colision Fronto-lateral,,Turismo,Conductor,40-44,M,,,435630,4471418,false,
2025S012377,2025-02-03T00:00:00Z,14:35:00,"Call. Valmojado, 163",163,10,Latina,Colision Fronto-lateral,,Turismo,Conductor,45-49,M,,,435630,4471418,false,
2025S012377,2025-02-03T00:00:00Z,14:35:00,"Call. Valmojado, 163",163,10,Latina,Colision Fronto-lateral,,Turismo,Pasajero,30-34,F,,,435630,4471418,false,
2025S012380,2025-02-03T00:00:00Z,17:00:00,"Call. Arturo Soria, 103",103,15,Ciudad Lineal,Otro,,Turismo,Conductor,35-39,M,,,444738,4477892,false,
2025S012381,2025-02-03T00:00:00Z,14:15:00,"Call. Rafael Herrera, 3",3,5,Chamartin,Alcance,,Turismo,Conductor,45-49,F,,,441853,4479887,false,
2025S012381,2025-02-03T00:00:00Z,14:15:00,"Call. Rafael Herrera, 3",3,5,Chamartin,Alcance,,Turismo,Conductor,Desconocido,Desconocido,,,441853,4479887,false,
2025S012382,2025-02-03T00:00:00Z,17:25:00,Call. Nicolas Sanchez / Call. Antonio Velasco Zazo,113,12,Usera,Colision Fronto-lateral,Despejado,Turismo,Conductor,25-29,M,14,Sin asistencia sanitaria,440115,4470290,false,
2025S012382,2025-02-03T00:00:00Z,17:25:00,Call. Nicolas Sanchez / Call. Antonio Velasco Zazo,113,12,Usera,Colision Fronto-lateral,Despejado,Turismo,Conductor,45-49,M,14,Sin asistencia sanitaria,440115,4470290,false,
2025S012383,2025-02-03T00:00:00Z,17:35:00,"Call. Bravo Murillo, 25",25,7,Chamberi,Caida,Despejado,Ciclomotor,Conductor,25-29,F,7,Asistencia sanitaria sólo en el lugar del accidente,440270,4476370,false,
2025S012384,2025-02-03T00:00:00Z,18:00:00,Call. Via Lusitana / Autov. M-40,150,11,Carabanchel,Colision Frontal,Despejado,Turismo,Conductor,25-29,M,,,436782,4468233,false,
2025S012384,2025-02-03T00:00:00Z,18:00:00,Call. Via Lusitana / Autov. M-40,150,11,Carabanchel,Colision Frontal,Despejado,Turismo,Conductor,40-44,M,14,Sin asistencia sanitaria,436782,4468233,false,
2025S012384,2025-02-03T00:00:00Z,18:00:00,Call. Via Lusitana / Autov. M-40,150,11,Carabanchel,Colision Frontal,Despejado,Turismo,Pasajero,25-29,M,14,Sin asistencia sanitaria,436782,4468233,false,
2025S012384,2025-02-03T00:00:00Z,18:00:00,Call. Via Lusitana / Autov. M-40,150,11,Carabanchel,Colision Frontal,Despejado,Turismo,Pasajero,30-34,M,14,Sin asistencia sanitaria,436782,4468233,false,
2025S012385,2025-02-03T00:00:00Z,19:00:00,"Call. Cacereños, 14",14,17,Villaverde,Alcance,Despejado,Turismo,Conductor,21-24,M,,,439357,4466507,false,
2025S012385,2025-02-03T00:00:00Z,19:00:00,"Call. Cacereños, 14",14,17,Villaverde,Alcance,Despejado,Turismo,Conductor,45-49,M,,,439357,4466507,false,
2025S012386,2025-02-03T00:00:00Z,16:45:00,Call. Gran Via / Call. Doctor Carracido,69,1,Centro,Colision Lateral,Despejado,Autobús,Conductor,30-34,M,14,Sin asistencia sanitaria,439751,4474942,false,
2025S012386,2025-02-03T00:00:00Z,16:45:00,Call. Gran Via / Call. Doctor Carracido,69,1,Centro,Colision Lateral,Despejado,Autobús,Pasajero,45-49,F,7,Asistencia sanitaria sólo en el lugar del accidente,439751,4474942,false,
2025S012386,2025-02-03T00:00:00Z,16:45:00,Call. Gran Via / Call. Doctor Carracido,69,1,Centro,Colision Lateral,Despejado,Turismo,Conductor,50-54,M,14,Sin asistencia sanitaria,439751,4474942,false,
2025S012391,2025-02-03T00:00:00Z,16:00:00,"Call. Via De Dublin, 1",1,21,Barajas,Otro,Despejado,Turismo,Conductor,55-59,M,14,Sin asistencia sanitaria,447467,4480313,false,
2025S012465,2025-02-03T00:00:00Z,18:10:00,Call. Sinesio Delgado / Gta. Piedrafita Del Cebrero,32,8,Fuencarral-el Pardo,Colision Lateral,Despejado,Turismo,Conductor,35-39,M,14,Sin asistencia sanitaria,439613,4480255,false,
2025S012465,2025-02-03T00:00:00Z,18:10:00,Call. Sinesio Delgado / Gta. Piedrafita Del Cebrero,32,8,Fuencarral-el Pardo,Colision Lateral,Despejado,Turismo,Conductor,45-49,M,14,Sin asistencia sanitaria,439613,4480255,false,
2025S012465,2025-02-03T00:00:00Z,18:10:00,Call. Sinesio Delgado / Gta. Piedrafita Del Cebrero,32,8,Fuencarral-el Pardo,Colision Lateral,Despejado,Turismo,Pasajero,30-34,M,,,439613,4480255,false,
2025S012465,2025-02-03T00:00:00Z,18:10:00,Call. Sinesio Delgado / Gta. Piedrafita Del Cebrero,32,8,Fuencarral-el Pardo,Colision Lateral,Despejado,Turismo,Pasajero,35-39,M,,,439613,4480255,false,
2025S012465,2025-02-03T00:00:00Z,18:10:00,Call. Sinesio Delgado / Gta. Piedrafita Del Cebrero,32,8,Fuencarral-el Pardo,Colision Lateral,Despejado,Turismo,Pasajero,40-44,M,,,439613,4480255,false,
2025S012467,2025-02-03T00:00:00Z,19:38:00,Call. Poeta Joan Maragall / Idb. Avenida De Brasil,30,6,Tetuan,Colision Lateral,Despejado,Motocicleta > 125cc,Conductor,25-29,M,14,Sin asistencia sanitaria,441279,4478370,false,
2025S012467,2025-02-03T00:00:00Z,19:38:00,Call. Poeta Joan Maragall / Idb. Avenida De Brasil,30,6,Tetuan,Colision Lateral,Despejado,Motocicleta hasta 125cc,Conductor,35-39,M,7,Asistencia sanitaria sólo en el lugar del accidente,441279,4478370,false,
2025S012494,2025-02-03T00:00:00Z,20:45:00,Paseo. Castellana / Call. Marques Del Riscal,29,7,Chamberi,Alcance,,Turismo,Conductor,21-24,M,14,Sin asistencia sanitaria,441557,4475800,false,
2025S012494,2025-02-03T00:00:00Z,20:45:00,Paseo. Castellana / Call. Marques Del Riscal,29,7,Chamberi,Alcance,,Turismo,Conductor,30-34,M,14,Sin asistencia sanitaria,441557,4475800,false,
2025S012520,2025-02-03T00:00:00Z,20:10:00,"Call. Cerro Del Castañar, 70",70,8,Fuencarral-el Pardo,Choque Contra Obstaculo Fijo,Despejado,Turismo,Conductor,50-54,M,14,Sin asistencia sanitaria,439527,4482647,false,
2025S012520,2025-02-03T00:00:00Z,20:10:00,"Call. Cerro Del Castañar, 70",70,8,Fuencarral-el Pardo,Choque Contra Obstaculo Fijo,Despejado,Turismo,Conductor,Desconocido,Desconocido,,,439527,4482647,false,
2025S012549,2025-02-03T00:00:00Z,16:20:00,"Call. Peguerinos, 16",16,9,Moncloa-aravaca,Choque Contra Obstaculo Fijo,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,25-29,M,14,Sin asistencia sanitaria,437658,4480209,false,
2025S012549,2025-02-03T00:00:00Z,16:20:00,"Call. Peguerinos, 16",16,9,Moncloa-aravaca,Choque Contra Obstaculo Fijo,Despejado,Turismo,Conductor,Desconocido,Desconocido,14,Sin asistencia sanitaria,437658,4480209,false,
2025S012553,2025-02-03T00:00:00Z,19:03:00,Avda. Albufera / Call. Jose Paulete,226,13,Puente De Vallecas,Choque Contra Obstaculo Fijo,Despejado,Turismo,Conductor,Desconocido,Desconocido,,,444872,4471385,false,
2025S012554,2025-02-03T00:00:00Z,20:50:00,Call. Pirotecnia / Call. Sondeos,59,19,Vicalvaro,Colision Fronto-lateral,Despejado,Turismo,Conductor,25-29,M,7,Asistencia sanitaria sólo en el lugar del accidente,449860,4471889,false,
2025S012554,2025-02-03T00:00:00Z,20:50:00,Call. Pirotecnia / Call. Sondeos,59,19,Vicalvaro,Colision Fronto-lateral,Despejado,Turismo,Conductor,35-39,M,14,Sin asistencia sanitaria,449860,4471889,false,
2025S012554,2025-02-03T00:00:00Z,20:50:00,Call. Pirotecnia / Call. Sondeos,59,19,Vicalvaro,Colision Fronto-lateral,Despejado,Turismo,Pasajero,18-20,F,14,Sin asistencia sanitaria,449860,4471889,false,
2025S012751,2025-02-03T00:00:00Z,14:13:00,"Avda. Albufera, 323",323,13,Puente De Vallecas,Atropello A Persona,Despejado,Turismo,Conductor,55-59,M,14,Sin asistencia sanitaria,446489,4470471,false,
2025S012751,2025-02-03T00:00:00Z,14:13:00,"Avda. Albufera, 323",323,13,Puente De Vallecas,Atropello A Persona,Despejado,Turismo,Peatón,25-29,M,14,Sin asistencia sanitaria,446489,4470471,false,
2025S012752,2025-02-03T00:00:00Z,14:53:00,"Autov. M-30, 11nl10",11NL10,2,Arganzuela,Colision Multiple,Despejado,Furgoneta,Conductor,55-59,M,14,Sin asistencia sanitaria,442489,4471442,false,
2025S012752,2025-02-03T00:00:00Z,14:53:00,"Autov. M-30, 11nl10",11NL10,2,Arganzuela,Colision Multiple,Despejado,Turismo,Conductor,21-24,M,14,Sin asistencia sanitaria,442489,4471442,false,
2025S012752,2025-02-03T00:00:00Z,14:53:00,"Autov. M-30, 11nl10",11NL10,2,Arganzuela,Colision Multiple,Despejado,Turismo,Conductor,25-29,M,14,Sin asistencia sanitaria,442489,4471442,false,
2025S012752,2025-02-03T00:00:00Z,14:53:00,"Autov. M-30, 11nl10",11NL10,2,Arganzuela,Colision Multiple,Despejado,Turismo,Pasajero,21-24,M,14,Sin asistencia sanitaria,442489,4471442,false,
2025S012758,2025-02-03T00:00:00Z,13:15:00,Call. Jose Abascal / Call. Bravo Murillo,1,7,Chamberi,Alcance,Despejado,Motocicleta > 125cc,Conductor,50-54,M,14,Sin asistencia sanitaria,440280,4476691,false,
2025S012758,2025-02-03T00:00:00Z,13:15:00,Call. Jose Abascal / Call. Bravo Murillo,1,7,Chamberi,Alcance,Despejado,Motocicleta hasta 125cc,Conductor,30-34,F,7,Asistencia sanitaria sólo en el lugar del accidente,440280,4476691,false,
2025S013030,2025-02-03T00:00:00Z,18:58:00,Call. Ofelia Nieto / Call. Francos Rodriguez,4,6,Tetuan,Atropello A Persona,Despejado,Motocicleta hasta 125cc,Conductor,35-39,F,14,Sin asistencia sanitaria,439710,4478824,false,
2025S013030,2025-02-03T00:00:00Z,18:58:00,Call. Ofelia Nieto / Call. Francos Rodriguez,4,6,Tetuan,Atropello A Persona,Despejado,Motocicleta hasta 125cc,Peatón,70-74,F,2,Ingreso inferior o igual a 24 horas,439710,4478824,false,
2025S013030,2025-02-03T00:00:00Z,18:58:00,Call. Ofelia Nieto / Call. Francos Rodriguez,4,6,Tetuan,Atropello A Persona,Despejado,Motocicleta hasta 125cc,Peatón,70-74,F,14,Sin asistencia sanitaria,439710,4478824,false,
2025S012592,2025-02-04T00:00:00Z,0:40:00,"Avda. Monforte De Lemos, 36",36,8,Fuencarral-el Pardo,Choque Contra Obstaculo Fijo,Despejado,Turismo,Conductor,55-59,F,14,Sin asistencia sanitaria,439890,4481331,false,
2025S012593,2025-02-04T00:00:00Z,1:33:00,"Paseo. Nuestra Señora Del Recuerdo, 2",2,5,Chamartin,Choque Contra Obstaculo Fijo,Despejado,Turismo,Conductor,50-54,M,14,Sin asistencia sanitaria,442581,4480067,true,
2025S012722,2025-02-04T00:00:00Z,4:45:00,Call. Cuarenta Y Cuatro Mercamadrid / Call. Cuarenta Y Tres Mercamadrid,1,18,Villa De Vallecas,Colision Lateral,Despejado,Camión rígido,Conductor,50-54,M,,,444134,4467894,false,
2025S012722,2025-02-04T00:00:00Z,4:45:00,Call. Cuarenta Y Cuatro Mercamadrid / Call. Cuarenta Y Tres Mercamadrid,1,18,Villa De Vallecas,Colision Lateral,Despejado,Furgoneta,Conductor,40-44,M,,,444134,4467894,false,
2025S012753,2025-02-04T00:00:00Z,6:50:00,Avda. Niceto Alcala Zamora / Autov. M-11,3,16,Hortaleza,Caida,Despejado,Motocicleta > 125cc,Conductor,21-24,M,1,Atención en urgencias sin posterior ingreso,444938,4481407,false,
2025S012754,2025-02-04T00:00:00Z,6:35:00,Call. Doctor Tolosa Latour / Call. Cristo De La Vega,16,12,Usera,Choque Contra Obstaculo Fijo,Despejado,Turismo,Conductor,40-44,M,,,440584,4470025,false,
2025S012755,2025-02-04T00:00:00Z,6:35:00,Avda. Andalucia / Call. Anoeta,40,12,Usera,Alcance,Despejado,Furgoneta,Conductor,40-44,M,,,441143,4467165,false,
2025S012755,2025-02-04T00:00:00Z,6:35:00,Avda. Andalucia / Call. Anoeta,40,12,Usera,Alcance,Despejado,Turismo,Conductor,30-34,M,,,441143,4467165,false,
2025S012756,2025-02-04T00:00:00Z,6:50:00,"Autov. M-30, 09xl19",09XL19,13,Puente De Vallecas,Alcance,Despejado,Turismo,Conductor,35-39,M,7,Asistencia sanitaria sólo en el lugar del accidente,443547,4472951,false,
2025S012756,2025-02-04T00:00:00Z,6:50:00,"Autov. M-30, 09xl19",09XL19,13,Puente De Vallecas,Alcance,Despejado,Turismo,Conductor,40-44,M,7,Asistencia sanitaria sólo en el lugar del accidente,443547,4472951,false,
2025S012756,2025-02-04T00:00:00Z,6:50:00,"Autov. M-30, 09xl19",09XL19,13,Puente De Vallecas,Alcance,Despejado,Turismo,Pasajero,50-54,F,7,Asistencia sanitaria sólo en el lugar del accidente,443547,4472951,false,
2025S012757,2025-02-04T00:00:00Z,8:30:00,Call. Canillas / Call. Juan Bautista De Toledo,56,5,Chamartin,Atropello A Persona,Despejado,Motocicleta hasta 125cc,Conductor,40-44,F,7,Asistencia sanitaria sólo en el lugar del accidente,442893,4477172,false,
2025S012757,2025-02-04T00:00:00Z,8:30:00,Call. Canillas / Call. Juan Bautista De Toledo,56,5,Chamartin,Atropello A Persona,Despejado,Motocicleta hasta 125cc,Peatón,25-29,M,7,Asistencia sanitaria sólo en el lugar del accidente,442893,4477172,false,
2025S012762,2025-02-04T00:00:00Z,8:30:00,"Autov. A-42, +00500e",+00500E,12,Usera,Alcance,Despejado,Motocicleta hasta 125cc,Conductor,40-44,M,2,Ingreso inferior o igual a 24 horas,438913,4469535,false,
2025S012762,2025-02-04T00:00:00Z,8:30:00,"Autov. A-42, +00500e",+00500E,12,Usera,Alcance,Despejado,Turismo,Conductor,50-54,F,14,Sin asistencia sanitaria,438913,4469535,false,
2025S012765,2025-02-04T00:00:00Z,8:00:00,"Call. Montesa, 8",8,4,Salamanca,Caida,,VMU eléctrico,Conductor,30-34,M,,,442963,4475372,false,
2025S012766,2025-02-04T00:00:00Z,8:50:00,"Paseo. La Habana, 151",151,5,Chamartin,Alcance,Despejado,Turismo,Conductor,45-49,F,,,442348,4479420,false,
2025S012766,2025-02-04T00:00:00Z,8:50:00,"Paseo. La Habana, 151",151,5,Chamartin,Alcance,Despejado,Turismo,Conductor,55-59,F,,,442348,4479420,false,
2025S012772,2025-02-04T00:00:00Z,8:34:00,Call. Sagasta / Call. Francisco De Rojas,15,7,Chamberi,Choque Contra Obstaculo Fijo,Despejado,Cuadriciclo no ligero,Conductor,45-49,M,2,Ingreso inferior o igual a 24 horas,440664,4475548,false,
2025S012775,2025-02-04T00:00:00Z,8:50:00,Call. El Lucero Del Alba / Call. La Picara Molinera,15,17,Villaverde,Atropello A Persona,Despejado,Turismo,Conductor,55-59,M,14,Sin asistencia sanitaria,440513,4467819,false,
2025S012775,2025-02-04T00:00:00Z,8:50:00,Call. El Lucero Del Alba / Call. La Picara Molinera,15,17,Villaverde,Atropello A Persona,Despejado,Turismo,Peatón,30-34,F,1,Atención en urgencias sin posterior ingreso,440513,4467819,false,
2025S012778,2025-02-04T00:00:00Z,7:00:00,"Avda. Central, 25",25,21,Barajas,Atropello A Persona,Despejado,Turismo,Conductor,60-64,F,14,Sin asistencia sanitaria,451186,4478091,false,
2025S012778,2025-02-04T00:00:00Z,7:00:00,"Avda. Central, 25",25,21,Barajas,Atropello A Persona,Despejado,Turismo,Peatón,45-49,M,6,Asistencia sanitaria inmediata en centro de salud o mutua,451186,4478091,false,
2025S012789,2025-02-04T00:00:00Z,9:00:00,Call. Arcos De Jalon / Call. Amposta,34,20,San Blas-canillejas,Atropello A Persona,Despejado,Turismo,Conductor,30-34,F,14,Sin asistencia sanitaria,447494,4474830,false,
2025S012789,2025-02-04T00:00:00Z,9:00:00,Call. Arcos De Jalon / Call. Amposta,34,20,San Blas-canillejas,Atropello A Persona,Despejado,Turismo,Peatón,Menor5,F,7,Asistencia sanitaria sólo en el lugar del accidente,447494,4474830,false,
2025S012790,2025-02-04T00:00:00Z,9:20:00,Call. Poeta Joan Maragall / Call. Pintor Juan Gris,33,6,Tetuan,Colision Fronto-lateral,Despejado,Motocicleta hasta 125cc,Conductor,30-34,M,7,Asistencia sanitaria sólo en el lugar del accidente,441321,4478785,false,
2025S012790,2025-02-04T00:00:00Z,9:20:00,Call. Poeta Joan Maragall / Call. Pintor Juan Gris,33,6,Tetuan,Colision Fronto-lateral,Despejado,Turismo,Conductor,Más74,M,14,Sin asistencia sanitaria,441321,4478785,false,
2025S012793,2025-02-04T00:00:00Z,9:00:00,Paseo. Reina Cristina / Call. Agustin Querol,5,3,Retiro,Colision Lateral,Despejado,Motocicleta > 125cc,Conductor,45-49,M,14,Sin asistencia sanitaria,441993,4473125,false,
2025S012793,2025-02-04T00:00:00Z,9:00:00,Paseo. Reina Cristina / Call. Agustin Querol,5,3,Retiro,Colision Lateral,Despejado,Motocicleta hasta 125cc,Conductor,55-59,M,14,Sin asistencia sanitaria,441993,4473125,false,
2025S012794,2025-02-04T00:00:00Z,10:10:00,Call. La Cenicienta / Call. Mogambo,8,13,Puente De Vallecas,Colision Fronto-lateral,Despejado,Furgoneta,Conductor,40-44,M,7,Asistencia sanitaria sólo en el lugar del accidente,444198,4470107,false,
2025S012794,2025-02-04T00:00:00Z,10:10:00,Call. La Cenicienta / Call. Mogambo,8,13,Puente De Vallecas,Colision Fronto-lateral,Despejado,Turismo,Conductor,40-44,M,14,Sin asistencia sanitaria,444198,4470107,false,
2025S012795,2025-02-04T00:00:00Z,10:25:00,"Plaza. Alsacia, 1",1,20,San Blas-canillejas,Colision Lateral,,Camión rígido,Conductor,50-54,M,14,Sin asistencia sanitaria,447170,4474244,false,
2025S012795,2025-02-04T00:00:00Z,10:25:00,"Plaza. Alsacia, 1",1,20,San Blas-canillejas,Colision Lateral,,Turismo,Conductor,45-49,M,14,Sin asistencia sanitaria,447170,4474244,false,
2025S012795,2025-02-04T00:00:00Z,10:25:00,"Plaza. Alsacia, 1",1,20,San Blas-canillejas,Colision Lateral,,Turismo,Pasajero,25-29,F,,,447170,4474244,false,
2025S012797,2025-02-04T00:00:00Z,10:15:00,Plaza. Republica Argentina / Call. Serrano,8,5,Chamartin,Colision Lateral,Despejado,Turismo,Conductor,45-49,M,,,441844,4477384,false,
2025S012797,2025-02-04T00:00:00Z,10:15:00,Plaza. Republica Argentina / Call. Serrano,8,5,Chamartin,Colision Lateral,Despejado,Turismo,Conductor,45-49,F,,,441844,4477384,false,
2025S012798,2025-02-04T00:00:00Z,10:40:00,"Call. Rafael Boti, 1",1,9,Moncloa-aravaca,Caida,Despejado,VMU eléctrico,Conductor,40-44,F,6,Asistencia sanitaria inmediata en centro de salud o mutua,431808,4479511,false,
2025S012809,2025-02-04T00:00:00Z,10:45:00,"Paseo. Extremadura, 170",170,10,Latina,Choque Contra Obstaculo Fijo,Despejado,Furgoneta,Conductor,45-49,M,,,437171,4473452,false,
2025S012809,2025-02-04T00:00:00Z,10:45:00,"Paseo. Extremadura, 170",170,10,Latina,Choque Contra Obstaculo Fijo,Despejado,Turismo,Conductor,35-39,F,,,437171,4473452,false,
2025S012815,2025-02-04T00:00:00Z,10:50:00,Call. Zurbano / Paseo. Eduardo Dato,42,7,Chamberi,Colision Lateral,Despejado,Motocicleta hasta 125cc,Conductor,60-64,F,1,Atención en urgencias sin posterior ingreso,441189,4476028,false,
2025S012815,2025-02-04T00:00:00Z,10:50:00,Call. Zurbano / Paseo. Eduardo Dato,42,7,Chamberi,Colision Lateral,Despejado,Turismo,Conductor,55-59,F,14,Sin asistencia sanitaria,441189,4476028,false,
2025S012820,2025-02-04T00:00:00Z,10:45:00,Call. Liceo / Plaza. Liceo,2,16,Hortaleza,Colision Lateral,Despejado,Furgoneta,Conductor,55-59,M,14,Sin asistencia sanitaria,445442,4478697,false,
2025S012820,2025-02-04T00:00:00Z,10:45:00,Call. Liceo / Plaza. Liceo,2,16,Hortaleza,Colision Lateral,Despejado,Motocicleta > 125cc,Conductor,50-54,M,2,Ingreso inferior o igual a 24 horas,445442,4478697,false,
2025S012824,2025-02-04T00:00:00Z,11:20:00,Call. Norte / Call. Palma,14,1,Centro,Atropello A Persona,Despejado,Turismo,Conductor,55-59,M,14,Sin asistencia sanitaria,440016,4475367,false,
2025S012824,2025-02-04T00:00:00Z,11:20:00,Call. Norte / Call. Palma,14,1,Centro,Atropello A Persona,Despejado,Turismo,Peatón,30-34,M,7,Asistencia sanitaria sólo en el lugar del accidente,440016,4475367,false,
2025S012844,2025-02-04T00:00:00Z,9:02:00,Paseo. Ginebra / Call. Finlandia,8,20,San Blas-canillejas,Atropello A Persona,Despejado,Turismo,Conductor,45-49,M,14,Sin asistencia sanitaria,448851,4474894,false,
2025S012844,2025-02-04T00:00:00Z,9:02:00,Paseo. Ginebra / Call. Finlandia,8,20,San Blas-canillejas,Atropello A Persona,Despejado,Turismo,Peatón,Menor5,M,5,Asistencia sanitaria ambulatoria con posterioridad,448851,4474894,false,
2025S012859,2025-02-04T00:00:00Z,11:15:00,"Paseo. Yeserias, 51",51,2,Arganzuela,Colision Fronto-lateral,,Tractocamión,Conductor,60-64,M,,,440110,4472089,false,
2025S012859,2025-02-04T00:00:00Z,11:15:00,"Paseo. Yeserias, 51",51,2,Arganzuela,Colision Fronto-lateral,,Turismo,Conductor,50-54,M,,,440110,4472089,false,
2025S012861,2025-02-04T00:00:00Z,13:45:00,"Call. Nuñez De Balboa, 2",2,4,Salamanca,Choque Contra Obstaculo Fijo,Despejado,Camión rígido,Conductor,Desconocido,Desconocido,,,442060,4474800,false,
2025S012862,2025-02-04T00:00:00Z,11:10:00,"Call. Sigerico, 22",22,11,Carabanchel,Choque Contra Obstaculo Fijo,,Camión rígido,Conductor,21-24,M,,,438057,4471832,false,
2025S012862,2025-02-04T00:00:00Z,11:10:00,"Call. Sigerico, 22",22,11,Carabanchel,Choque Contra Obstaculo Fijo,,Turismo,Conductor,65-69,F,,,438057,4471832,false,
2025S012863,2025-02-04T00:00:00Z,13:05:00,Avda. Poblados / Eugenia De Montijo Farola 198,53,11,Carabanchel,Alcance,Despejado,Furgoneta,Conductor,65-69,M,14,Sin asistencia sanitaria,436274,4469827,false,
2025S012863,2025-02-04T00:00:00Z,13:05:00,Avda. Poblados / Eugenia De Montijo Farola 198,53,11,Carabanchel,Alcance,Despejado,Motocicleta > 125cc,Conductor,45-49,M,3,Ingreso superior a 24 horas,436274,4469827,false,
2025S012864,2025-02-04T00:00:00Z,13:30:00,"Avda. Arces, 1a",1A,16,Hortaleza,Colision Fronto-lateral,Despejado,Motocicleta hasta 125cc,Conductor,21-24,M,14,Sin asistencia sanitaria,447125,4478230,false,
2025S012864,2025-02-04T00:00:00Z,13:30:00,"Avda. Arces, 1a",1A,16,Hortaleza,Colision Fronto-lateral,Despejado,Turismo,Conductor,65-69,M,,,447125,4478230,false,
2025S012893,2025-02-04T00:00:00Z,15:10:00,Call. Raimundo Fernandez Villaverde / Call. Orense,65,6,Tetuan,Colision Fronto-lateral,Despejado,Turismo,Conductor,45-49,M,14,Sin asistencia sanitaria,441097,4477548,false,
2025S012893,2025-02-04T00:00:00Z,15:10:00,Call. Raimundo Fernandez Villaverde / Call. Orense,65,6,Tetuan,Colision Fronto-lateral,Despejado,Turismo,Conductor,70-74,F,14,Sin asistencia sanitaria,441097,4477548,false,
