num_expediente,fecha,hora,localizacion,numero,cod_distrito,distrito,same_as_wikidata_distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,same_as_wikidata_tipo_vehiculo,tipo_persona,rango_edad,sexo,same_as_wikidata_sexo,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga
2025S000063,2025-01-01T00:00:00Z,06:58,"call. princesa, 28",28,1,centro,https://www.wikidata.org/entity/Q1763376,alcance,despejado,motorcycle,https://www.wikidata.org/entity/Q34493,conductor,30-34,man,https://www.wikidata.org/entity/Q8441,14,sin asistencia sanitaria,439427,4475473,true,
2025S000063,2025-01-01T00:00:00Z,06:58,"call. princesa, 28",28,1,centro,https://www.wikidata.org/entity/Q1763376,alcance,despejado,motorcycle,https://www.wikidata.org/entity/Q34493,pasajero,35-39,woman,https://www.wikidata.org/entity/Q467,,,439427,4475473,false,
2025S000063,2025-01-01T00:00:00Z,06:58,"call. princesa, 28",28,1,centro,https://www.wikidata.org/entity/Q1763376,alcance,despejado,passenger car,https://www.wikidata.org/entity/Q1144312,conductor,40-44,man,https://www.wikidata.org/entity/Q8441,14,sin asistencia sanitaria,439427,4475473,false,
2025S000064,2025-01-01T00:00:00Z,07:10,paseo. artilleros / call. calahorra,6,19,vicalvaro,https://www.wikidata.org/entity/Q589403,choque contra obstaculo fijo,,passenger car,https://www.wikidata.org/entity/Q1144312,conductor,30-34,woman,https://www.wikidata.org/entity/Q467,,,448291,4473199,true,
2025S000064,2025-01-01T00:00:00Z,07:10,paseo. artilleros / call. calahorra,6,19,vicalvaro,https://www.wikidata.org/entity/Q589403,choque contra obstaculo fijo,,passenger car,https://www.wikidata.org/entity/Q1144312,conductor,desconocido,anonymous,https://www.wikidata.org/entity/Q4233718,,,448291,4473199,false,
2025S000065,2025-01-01T00:00:00Z,07:30,call. camino de los vinateros / call. corregidor diego de valderrabano,5,14,moratalaz,https://www.wikidata.org/entity/Q2076109,colision fronto-lateral,despejado,passenger car,https://www.wikidata.org/entity/Q1144312,conductor,25-29,woman,https://www.wikidata.org/entity/Q467,,,444161,4473548,false,
2025S000065,2025-01-01T00:00:00Z,07:30,call. camino de los vinateros / call. corregidor diego de valderrabano,5,14,moratalaz,https://www.wikidata.org/entity/Q2076109,colision fronto-lateral,despejado,passenger car,https://www.wikidata.org/entity/Q1144312,conductor,45-49,man,https://www.wikidata.org/entity/Q8441,,,444161,4473548,false,
2025S000069,2025-01-01T00:00:00Z,07:50,call. miguel palacios / avda. peña prieta,4,13,puente de vallecas,https://www.wikidata.org/entity/Q2003054,choque contra obstaculo fijo,despejado,motorcycle,https://www.wikidata.org/entity/Q34493,conductor,desconocido,anonymous,https://www.wikidata.org/entity/Q4233718,,,443545,4472565,false,
2025S000069,2025-01-01T00:00:00Z,07:50,call. miguel palacios / avda. peña prieta,4,13,puente de vallecas,https://www.wikidata.org/entity/Q2003054,choque contra obstaculo fijo,despejado,passenger car,https://www.wikidata.org/entity/Q1144312,conductor,desconocido,anonymous,https://www.wikidata.org/entity/Q4233718,,,443545,4472565,false,
2025S000070,2025-01-01T00:00:00Z,08:05,avda. albufera / call. cantalapiedra,140,13,puente de vallecas,https://www.wikidata.org/entity/Q2003054,alcance,despejado,panel van,https://www.wikidata.org/entity/Q357884,conductor,55-59,woman,https://www.wikidata.org/entity/Q467,,,444319,4471444,false,
2025S000070,2025-01-01T00:00:00Z,08:05,avda. albufera / call. cantalapiedra,140,13,puente de vallecas,https://www.wikidata.org/entity/Q2003054,alcance,despejado,passenger car,https://www.wikidata.org/entity/Q1144312,conductor,desconocido,anonymous,https://www.wikidata.org/entity/Q4233718,,,444319,4471444,false,
2025S000072,2025-01-01T00:00:00Z,07:30,"call. embalse de navacerrada, 35",35,18,villa de vallecas,https://www.wikidata.org/entity/Q1947988,alcance,despejado,passenger car,https://www.wikidata.org/entity/Q1144312,conductor,21-24,man,https://www.wikidata.org/entity/Q8441,,,449221,4467966,false,
2025S000072,2025-01-01T00:00:00Z,07:30,"call. embalse de navacerrada, 35",35,18,villa de vallecas,https://www.wikidata.org/entity/Q1947988,alcance,despejado,passenger car,https://www.wikidata.org/entity/Q1144312,conductor,desconocido,anonymous,https://www.wikidata.org/entity/Q4233718,,,449221,4467966,false,
2025S000074,2025-01-01T00:00:00Z,10:00,"call. mateo inurria, 13",13,5,chamartin,https://www.wikidata.org/entity/Q1766348,otro,despejado,passenger car,https://www.wikidata.org/entity/Q1144312,conductor,50-54,man,https://www.wikidata.org/entity/Q8441,,,441824,4479788,false,
2025S000076,2025-01-01T00:00:00Z,08:00,"call. misterios, 8",8,15,ciudad lineal,https://www.wikidata.org/entity/Q1763694,colision fronto-lateral,despejado,passenger car,https://www.wikidata.org/entity/Q1144312,conductor,45-49,man,https://www.wikidata.org/entity/Q8441,14,sin asistencia sanitaria,445740,4476666,true,
2025S000076,2025-01-01T00:00:00Z,08:00,"call. misterios, 8",8,15,ciudad lineal,https://www.wikidata.org/entity/Q1763694,colision fronto-lateral,despejado,passenger car,https://www.wikidata.org/entity/Q1144312,conductor,desconocido,anonymous,https://www.wikidata.org/entity/Q4233718,,,445740,4476666,false,
2025S000079,2025-01-01T00:00:00Z,09:20,"call. luis martinez feduchi, 66",66,16,hortaleza,https://www.wikidata.org/entity/Q1928529,choque contra obstaculo fijo,,passenger car,https://www.wikidata.org/entity/Q1144312,conductor,21-24,man,https://www.wikidata.org/entity/Q8441,14,sin asistencia sanitaria,445608,4483449,false,
