fecha,cod_municipio,municipio,cod_distrito,distrito,same_as_wikidata_distrito,cod_barrio,barrio,num_personas,num_personas_hombres,num_personas_mujeres
2024-01-01T00:00:00Z,28079,madrid,5,Chamartín,https://www.wikidata.org/entity/Q1766348,52,prosperidad,36961,1653,20431
2024-01-01T00:00:00Z,28079,madrid,5,Chamartín,https://www.wikidata.org/entity/Q1766348,53,ciudadjardin,18928,8402,10526
2024-01-01T00:00:00Z,28079,madrid,5,Chamartín,https://www.wikidata.org/entity/Q1766348,54,hispanoamerica,32014,14453,17561
2024-01-01T00:00:00Z,28079,madrid,5,Chamartín,https://www.wikidata.org/entity/Q1766348,55,nuevaespana,25043,11312,13731
2024-01-01T00:00:00Z,28079,madrid,5,Chamartín,https://www.wikidata.org/entity/Q1766348,56,castilla,1762,8246,9374
2024-01-01T00:00:00Z,28079,madrid,6,Tetuán,https://www.wikidata.org/entity/Q1773540,61,bellasvistas,30531,14018,16513
2024-01-01T00:00:00Z,28079,madrid,6,Tetuán,https://www.wikidata.org/entity/Q1773540,62,cuatrocaminos,35723,1602,19703
2024-01-01T00:00:00Z,28079,madrid,6,Tetuán,https://www.wikidata.org/entity/Q1773540,63,castillejos,21256,9619,11637
2024-01-01T00:00:00Z,28079,madrid,6,Tetuán,https://www.wikidata.org/entity/Q1773540,64,almenara,2409,11272,12818
2024-01-01T00:00:00Z,28079,madrid,6,Tetuán,https://www.wikidata.org/entity/Q1773540,65,valdeacederas,27798,13024,14774
2024-01-01T00:00:00Z,28079,madrid,6,Tetuán,https://www.wikidata.org/entity/Q1773540,66,berruguete,26813,12119,14694
2024-01-01T00:00:00Z,28079,madrid,7,Chamberí,https://www.wikidata.org/entity/Q1763370,71,gaztambide,23533,10421,13112
2024-01-01T00:00:00Z,28079,madrid,7,Chamberí,https://www.wikidata.org/entity/Q1763370,72,arapiles,24931,11111,1382
2024-01-01T00:00:00Z,28079,madrid,7,Chamberí,https://www.wikidata.org/entity/Q1763370,73,trafalgar,25328,11491,13837
2024-01-01T00:00:00Z,28079,madrid,7,Chamberí,https://www.wikidata.org/entity/Q1763370,74,almagro,19992,8841,11151
2024-01-01T00:00:00Z,28079,madrid,7,Chamberí,https://www.wikidata.org/entity/Q1763370,75,riosrosas,27962,12261,15701
2024-01-01T00:00:00Z,28079,madrid,7,Chamberí,https://www.wikidata.org/entity/Q1763370,76,vallehermoso,20238,8793,11445
2024-01-01T00:00:00Z,28079,madrid,8,Fuencarral-el Pardo,https://www.wikidata.org/entity/Q656196,81,elpardo,346,1729,1731
2024-01-01T00:00:00Z,28079,madrid,8,Fuencarral-el Pardo,https://www.wikidata.org/entity/Q656196,82,fuentelarreina,3498,1591,1907
2024-01-01T00:00:00Z,28079,madrid,8,Fuencarral-el Pardo,https://www.wikidata.org/entity/Q656196,83,penagrande,44844,20857,23987
2024-01-01T00:00:00Z,28079,madrid,8,Fuencarral-el Pardo,https://www.wikidata.org/entity/Q656196,84,pilar,46543,21173,2537
2024-01-01T00:00:00Z,28079,madrid,8,Fuencarral-el Pardo,https://www.wikidata.org/entity/Q656196,85,lapaz,32343,15008,17335
2024-01-01T00:00:00Z,28079,madrid,8,Fuencarral-el Pardo,https://www.wikidata.org/entity/Q656196,86,valverde,6687,3199,3488
2024-01-01T00:00:00Z,28079,madrid,8,Fuencarral-el Pardo,https://www.wikidata.org/entity/Q656196,87,mirasierra,36744,17679,19065
2024-01-01T00:00:00Z,28079,madrid,8,Fuencarral-el Pardo,https://www.wikidata.org/entity/Q656196,88,elgoloso,19596,9694,9902
2024-01-01T00:00:00Z,28079,madrid,9,Moncloa-aravaca,https://www.wikidata.org/entity/Q2017682,91,casadecampo,12946,6047,6899
2024-01-01T00:00:00Z,28079,madrid,9,Moncloa-aravaca,https://www.wikidata.org/entity/Q2017682,92,argüelles,24987,11492,13495
2024-01-01T00:00:00Z,28079,madrid,9,Moncloa-aravaca,https://www.wikidata.org/entity/Q2017682,93,ciudaduniversitaria,16876,7835,9041
2024-01-01T00:00:00Z,28079,madrid,9,Moncloa-aravaca,https://www.wikidata.org/entity/Q2017682,94,valdezarza,31614,14578,17036
2024-01-01T00:00:00Z,28079,madrid,9,Moncloa-aravaca,https://www.wikidata.org/entity/Q2017682,95,valdemarin,7451,3491,396
2024-01-01T00:00:00Z,28079,madrid,9,Moncloa-aravaca,https://www.wikidata.org/entity/Q2017682,96,elplantio,3156,1467,1689
2024-01-01T00:00:00Z,28079,madrid,9,Moncloa-aravaca,https://www.wikidata.org/entity/Q2017682,97,aravaca,28193,13211,14982
2024-01-01T00:00:00Z,28079,madrid,10,Latina,https://www.wikidata.org/entity/Q794954,101,loscarmenes,18423,8757,9666
2024-01-01T00:00:00Z,28079,madrid,10,Latina,https://www.wikidata.org/entity/Q794954,102,puertadelangel,45513,21325,24188
2024-01-01T00:00:00Z,28079,madrid,10,Latina,https://www.wikidata.org/entity/Q794954,103,lucero,38072,17835,20237
2024-01-01T00:00:00Z,28079,madrid,10,Latina,https://www.wikidata.org/entity/Q794954,104,aluche,68973,31619,37354
2024-01-01T00:00:00Z,28079,madrid,10,Latina,https://www.wikidata.org/entity/Q794954,105,campamento,20657,9511,11146
2024-01-01T00:00:00Z,28079,madrid,10,Latina,https://www.wikidata.org/entity/Q794954,106,cuatrovientos,6417,3192,3225
2024-01-01T00:00:00Z,28079,madrid,10,Latina,https://www.wikidata.org/entity/Q794954,107,águilas,52341,24198,28143
2024-01-01T00:00:00Z,28079,madrid,11,Carabanchel,https://www.wikidata.org/entity/Q1001991,111,comillas,23466,10873,12593
2024-01-01T00:00:00Z,28079,madrid,11,Carabanchel,https://www.wikidata.org/entity/Q1001991,112,opanel,35513,16394,19119
2024-01-01T00:00:00Z,28079,madrid,11,Carabanchel,https://www.wikidata.org/entity/Q1001991,113,sanisidro,42184,19962,22222
2024-01-01T00:00:00Z,28079,madrid,11,Carabanchel,https://www.wikidata.org/entity/Q1001991,114,vistaalegre,50153,23083,2707
2024-01-01T00:00:00Z,28079,madrid,11,Carabanchel,https://www.wikidata.org/entity/Q1001991,115,puertabonita,38781,1836,20421
2024-01-01T00:00:00Z,28079,madrid,11,Carabanchel,https://www.wikidata.org/entity/Q1001991,116,buenavista,5104,2474,263
2024-01-01T00:00:00Z,28079,madrid,11,Carabanchel,https://www.wikidata.org/entity/Q1001991,117,abrantes,33269,15585,17684
2024-01-01T00:00:00Z,28079,madrid,12,Usera,https://www.wikidata.org/entity/Q953368,121,orcasitas,23482,1101,12472
2024-01-01T00:00:00Z,28079,madrid,12,Usera,https://www.wikidata.org/entity/Q953368,122,orcasur,14851,7207,7644
2024-01-01T00:00:00Z,28079,madrid,12,Usera,https://www.wikidata.org/entity/Q953368,123,sanfermin,2451,11716,12794
2024-01-01T00:00:00Z,28079,madrid,12,Usera,https://www.wikidata.org/entity/Q953368,124,almendrales,23927,11389,12538
2024-01-01T00:00:00Z,28079,madrid,12,Usera,https://www.wikidata.org/entity/Q953368,125,moscardo,27873,13169,14704
2024-01-01T00:00:00Z,28079,madrid,12,Usera,https://www.wikidata.org/entity/Q953368,126,zofio,15298,7166,8132
2024-01-01T00:00:00Z,28079,madrid,12,Usera,https://www.wikidata.org/entity/Q953368,127,pradolongo,19172,9144,10028
2024-01-01T00:00:00Z,28079,madrid,13,Puente De Vallecas,https://www.wikidata.org/entity/Q2003054,131,entrevias,36851,17711,1914
2024-01-01T00:00:00Z,28079,madrid,13,Puente De Vallecas,https://www.wikidata.org/entity/Q2003054,132,sandiego,49339,23856,25483
2024-01-01T00:00:00Z,28079,madrid,13,Puente De Vallecas,https://www.wikidata.org/entity/Q2003054,133,palomerasbajas,41755,19533,22222
2024-01-01T00:00:00Z,28079,madrid,13,Puente De Vallecas,https://www.wikidata.org/entity/Q2003054,134,palomerassureste,44396,21125,23271
2024-01-01T00:00:00Z,28079,madrid,13,Puente De Vallecas,https://www.wikidata.org/entity/Q2003054,135,portazgo,29746,1396,15786
