nº radar,ubicacion,carretera o vial,same_as_wikidata_carretera,ubicacion calle 30,pk,sentido,Tipo,Carril,Longitud inicio tramo,Latitud inicio tramo,X (WGS84),Y (WGS84),Longitud,Latitud,Velocidad limite,Responsable,same_as_wikidata_responsable
12,"tunel bypass, sentido a-3 a pte. franceses, (gta. legazpi - pº sta. mª de la cabeza)",M-30,https://www.wikidata.org/entity/Q2352840,14nc20,14+200,calzada interior,fijo,fijo carril 3,,,,,-3.703274,40.394924,70,Direcció General de la Policia,https://www.wikidata.org/entity/Q11917322
13,"paseo de sta. mª de la cabeza nº 115, entrada",Paseo de Santa María de la Cabeza,https://www.wikidata.org/entity/Q6065630,,115,entrada,fijo,todos,,,439726.00,4471345.00,-3.71017703,40.39052318,50,Direcció General de la Policia,https://www.wikidata.org/entity/Q11917322
14,"tunel bypass, sentido a3 a pte. de los franceses, (enlace pº sta. mª de la cabeza)",M-30,https://www.wikidata.org/entity/Q2352840,14nc74,14+740,calzada interior,fijo,fijo carril 1,,,,,-3.708108,40.39657,70,Direcció General de la Policia,https://www.wikidata.org/entity/Q11917322
15,"tunel bypass, sentido a3 a pte. de los franceses, (pº sta. mª de la cabeza - gta. piramides)",M-30,https://www.wikidata.org/entity/Q2352840,15nl01,15+010,calzada interior,fijo,fijo carril 3,,,,,-3.709684,40.397139,70,Direcció General de la Policia,https://www.wikidata.org/entity/Q11917322
16,"tunel m-30, sentido pte. de los franceses - a3 (pte. san isidro - gta. marques de vadillo)",M-30,https://www.wikidata.org/entity/Q2352840,16xc53,16+530,calzada exterior,fijo,fijo multicarril,,,,,-3.722988,40.403114,70,Direcció General de la Policia,https://www.wikidata.org/entity/Q11917322
17,"tunel m-30, sentido nudo sur - pte. de los franceses, (pasada salida virgen del puerto)",M-30,https://www.wikidata.org/entity/Q2352840,17nc17,17+170,calzada interior,fijo,fijo carril 1,,,,,-3.721414,40.40939,70,Direcció General de la Policia,https://www.wikidata.org/entity/Q11917322
18,"tunel avda. de portugal, sentido m-30",A5,https://www.wikidata.org/entity/Q429719,04ft15,4+150,entrada de madrid,fijo,fijo carril 1,,,,,-3.731092,40.41389,70,Direcció General de la Policia,https://www.wikidata.org/entity/Q11917322
19,"tunel avda. de portugal, sentido m-30",A5,https://www.wikidata.org/entity/Q429719,04ft15,4+150,entrada de madrid,fijo,fijo carril 4,,,,,-3.73102,40.413797,70,Direcció General de la Policia,https://www.wikidata.org/entity/Q11917322
20,"a-5 pk 4,000, salida",A5,https://www.wikidata.org/entity/Q429719,,4,salida,fijo,fijo carril 3,,,436748.00,4473248.00,-3.74545156,40.40744539,70,Direcció General de la Policia,https://www.wikidata.org/entity/Q11917322
21,"entrada tunel en marques de monistrol, p.k. 19,060",M-30,https://www.wikidata.org/entity/Q2352840,19xc06,19+060,calzada exterior,fijo,fijo carril 1,,,,,-3.727663,40.422937,70,Direcció General de la Policia,https://www.wikidata.org/entity/Q11917322
22,"entrada tunel en marques de monistrol, p.k. 19,060",M-30,https://www.wikidata.org/entity/Q2352840,19xc06,19+060,calzada exterior,fijo,fijo carril 4,,,,,-3.727724,40.422839,70,Direcció General de la Policia,https://www.wikidata.org/entity/Q11917322
23,"m-30 marques de monistrol, sentido pte. de los franceses (pte. del rey - pte. franceses) p.k. 19,800",M-30,https://www.wikidata.org/entity/Q2352840,19nc90,19+900,calzada interior,fijo,fijo carril 3,,,437668.00,4475482.00,-3.73482875,40.42763957,70,Direcció General de la Policia,https://www.wikidata.org/entity/Q11917322
24,"m-30 marques de monistrol, sentido pte. de los franceses (pte. del rey - pte. franceses) p.k. 19,800",M-30,https://www.wikidata.org/entity/Q2352840,19nc90,19+900,calzada interior,fijo,fijo carril 2,,,437668.00,4475482.00,-3.73482875,40.42763957,70,Direcció General de la Policia,https://www.wikidata.org/entity/Q11917322
25,"m-30 sentido avda. de la ilustracion (ctra. del pardo - avda. de la ilustracion) p.k. 25,700",M-30,https://www.wikidata.org/entity/Q2352840,25nc80,25+700,calzada interior,fijo,todos,,,436823.00,4480674.00,-3.74530618,40.47434710,90,Direcció General de la Policia,https://www.wikidata.org/entity/Q11917322
